"Product Name",Category,"Sell Price","Buy Price"
"Abyssal Horror","Starter 1999",0.68,0.08
"Air Elemental","Starter 1999",0.24,0.08
"Alluring Scent","Starter 1999",0.88,0.08
"Ancient Craving","Starter 1999",1.20,0.08
"Angel of Light","Starter 1999",4.17,1.67
"Angel of Mercy","Starter 1999",0.75,0.08
"Angelic Blessing","Starter 1999",0.18,0.08
Archangel,"Starter 1999",1.15,0.08
"Ardent Militia","Starter 1999",0.28,0.08
Armageddon,"Starter 1999",4.09,1.64
"Barbtooth Wurm","Starter 1999",0.21,0.08
Bargain,"Starter 1999",0.77,0.08
"Blinding Light","Starter 1999",0.78,0.08
"Bog Imp","Starter 1999",0.16,0.08
"Bog Raiders","Starter 1999",0.16,0.08
"Bog Wraith","Starter 1999",0.28,0.08
"Border Guard","Starter 1999",0.18,0.08
"Breath of Life","Starter 1999",0.45,0.08
"Bull Hippo","Starter 1999",0.23,0.08
"Champion Lancer","Starter 1999",2.60,0.25
"Charging Paladin","Starter 1999",0.24,0.08
"Chorus of Woe","Starter 1999",0.19,0.08
"Cinder Storm","Starter 1999",1.48,0.08
Coercion,"Starter 1999",0.21,0.08
"Coral Eel","Starter 1999",0.16,0.08
Counterspell,"Starter 1999",2.37,0.25
"Dakmor Ghoul","Starter 1999",4.01,1.60
"Dakmor Lancer","Starter 1999",0.51,0.08
"Dakmor Plague","Starter 1999",0.38,0.08
"Dakmor Scorpion","Starter 1999",0.18,0.08
"Dakmor Sorceress","Starter 1999",4.00,1.60
"Dark Offering","Starter 1999",0.33,0.08
"Denizen of the Deep","Starter 1999",2.11,0.25
Devastation,"Starter 1999",22.45,10.10
"Devoted Hero","Starter 1999",0.18,0.08
"Devout Monk","Starter 1999",0.22,0.08
"Dread Reaper","Starter 1999",0.84,0.08
"Durkwood Boars","Starter 1999",0.17,0.08
"Eager Cadet","Starter 1999",0.22,0.08
"Earth Elemental","Starter 1999",0.31,0.08
Exhaustion,"Starter 1999",1.30,0.08
Extinguish,"Starter 1999",0.19,0.08
"Eye Spy","Starter 1999",0.24,0.08
"False Peace","Starter 1999",0.24,0.08
"Feral Shadow","Starter 1999",0.20,0.08
"Fire Elemental","Starter 1999",0.21,0.08
"Fire Tempest","Starter 1999",1.05,0.08
"Foot Soldiers","Starter 1999",0.21,0.08
"Forest (170)","Starter 1999",0.94,0.08
"Forest (171)","Starter 1999",0.80,0.08
"Forest (172)","Starter 1999",0.48,0.08
"Forest (173)","Starter 1999",1.33,0.08
"Gerrard's Wisdom","Starter 1999",0.61,0.08
"Giant Octopus","Starter 1999",0.18,0.08
"Goblin Cavaliers","Starter 1999",0.20,0.08
"Goblin Chariot","Starter 1999",0.18,0.08
"Goblin Commando","Starter 1999",2.49,0.25
"Goblin General","Starter 1999",5.06,2.02
"Goblin Glider","Starter 1999",0.28,0.08
"Goblin Hero","Starter 1999",0.33,0.08
"Goblin Lore","Starter 1999",8.64,3.46
"Goblin Mountaineer","Starter 1999",0.19,0.08
"Goblin Settler","Starter 1999",44.65,22.33
"Gorilla Warrior","Starter 1999",0.16,0.08
Gravedigger,"Starter 1999",0.24,0.08
"Grim Tutor","Starter 1999",261.25,156.75
"Grizzly Bears","Starter 1999",0.19,0.08
"Hand of Death","Starter 1999",0.18,0.08
"Hollow Dogs","Starter 1999",0.16,0.08
"Howling Fury","Starter 1999",0.33,0.08
"Hulking Goblin","Starter 1999",0.17,0.08
"Hulking Ogre","Starter 1999",0.25,0.08
"Ingenious Thief","Starter 1999",0.18,0.08
"Island (158)","Starter 1999",0.95,0.08
"Island (159)","Starter 1999",1.66,0.08
"Island (160)","Starter 1999",0.95,0.08
"Island (161)","Starter 1999",0.95,0.08
"Jagged Lightning","Starter 1999",0.26,0.08
"Knight Errant","Starter 1999",0.19,0.08
"Last Chance","Starter 1999",-,-
"Lava Axe","Starter 1999",0.18,0.08
"Lone Wolf","Starter 1999",0.18,0.08
"Loyal Sentry","Starter 1999",1.58,0.08
Lynx,"Starter 1999",0.44,0.08
Man-o'-War,"Starter 1999",1.60,0.08
"Merfolk of the Pearl Trident","Starter 1999",0.21,0.08
"Mind Rot","Starter 1999",0.18,0.08
"Mons's Goblin Raiders","Starter 1999",0.33,0.08
"Monstrous Growth","Starter 1999",0.23,0.08
"Moon Sprite","Starter 1999",0.25,0.08
"Mountain (166)","Starter 1999",1.81,0.08
"Mountain (167)","Starter 1999",0.60,0.08
"Mountain (168)","Starter 1999",0.95,0.08
"Mountain (169)","Starter 1999",0.57,0.08
"Muck Rats","Starter 1999",0.22,0.08
"Natural Spring","Starter 1999",0.24,0.08
"Nature's Cloak","Starter 1999",1.18,0.08
"Nature's Lore","Starter 1999",3.59,1.44
"Norwood Archers","Starter 1999",0.24,0.08
"Norwood Ranger","Starter 1999",0.18,0.08
"Ogre Warrior","Starter 1999",0.18,0.08
"Owl Familiar","Starter 1999",0.32,0.08
"Path of Peace","Starter 1999",0.18,0.08
"Phantom Warrior","Starter 1999",0.75,0.08
Piracy,"Starter 1999",37.83,18.92
"Plains (154)","Starter 1999",0.47,0.08
"Plains (155)","Starter 1999",0.71,0.08
"Plains (156)","Starter 1999",0.49,0.08
"Plains (157)","Starter 1999",0.48,0.08
"Pride of Lions","Starter 1999",0.78,0.08
"Psychic Transfer","Starter 1999",0.59,0.08
"Raging Goblin","Starter 1999",0.21,0.08
"Raise Dead","Starter 1999",0.21,0.08
Ransack,"Starter 1999",0.46,0.08
"Ravenous Rats","Starter 1999",0.43,0.08
Relearn,"Starter 1999",0.55,0.08
"Relentless Assault","Starter 1999",0.94,0.08
"Remove Soul","Starter 1999",0.19,0.08
"Renewing Touch","Starter 1999",9.50,3.80
"Righteous Charge","Starter 1999",0.41,0.08
"Righteous Fury","Starter 1999",4.80,1.92
"Royal Falcon","Starter 1999",0.23,0.08
"Royal Trooper","Starter 1999",0.42,0.08
"Sacred Nectar","Starter 1999",0.18,0.08
"Scathe Zombies","Starter 1999",0.22,0.08
"Scorching Spear","Starter 1999",0.16,0.08
