"Product Name",Category,"Sell Price","Buy Price"
"Abandon Hope",Tempest,0.28,0.08
"Advance Scout",Tempest,0.18,0.08
Aftershock,Tempest,0.22,0.08
"Altar of Dementia",Tempest,13.29,5.98
Aluren,Tempest,33.25,16.63
"Ancient Runes",Tempest,0.25,0.08
"Ancient Tomb",Tempest,25.82,12.91
"Angelic Protector",Tempest,0.26,0.08
Anoint,Tempest,0.16,0.08
"Apes of Rath",Tempest,0.24,0.08
Apocalypse,Tempest,5.22,2.09
"Armor Sliver",Tempest,0.29,0.08
"Armored Pegasus",Tempest,0.18,0.08
Auratog,Tempest,0.61,0.08
"Avenging Angel",Tempest,0.76,0.08
"Barbed Sliver",Tempest,0.28,0.08
"Bayou Dragonfly",Tempest,0.18,0.08
"Bellowing Fiend",Tempest,0.38,0.08
"Benthic Behemoth",Tempest,0.48,0.08
"Blood Frenzy",Tempest,0.21,0.08
"Blood Pet",Tempest,0.21,0.08
Boil,Tempest,0.75,0.08
"Booby Trap",Tempest,0.47,0.08
"Bottle Gnomes",Tempest,0.27,0.08
"Bounty Hunter",Tempest,2.61,0.25
"Broken Fall",Tempest,0.20,0.08
"Caldera Lake",Tempest,1.46,0.08
"Canopy Spider",Tempest,0.17,0.08
"Canyon Drake",Tempest,0.45,0.08
"Canyon Wildcat",Tempest,0.19,0.08
Capsize,Tempest,1.52,0.08
Carrionette,Tempest,0.47,0.08
"Chaotic Goo",Tempest,1.53,0.08
"Charging Rhino",Tempest,0.24,0.08
Chill,Tempest,0.43,0.08
Choke,Tempest,3.71,1.48
"Cinder Marsh",Tempest,0.24,0.08
"Circle of Protection: Black",Tempest,0.19,0.08
"Circle of Protection: Blue",Tempest,0.20,0.08
"Circle of Protection: Green",Tempest,0.18,0.08
"Circle of Protection: Red",Tempest,0.23,0.08
"Circle of Protection: Shadow",Tempest,0.15,0.08
"Circle of Protection: White",Tempest,0.18,0.08
"Clergy en-Vec",Tempest,0.20,0.08
"Clot Sliver",Tempest,0.24,0.08
"Cloudchaser Eagle",Tempest,0.18,0.08
Coercion,Tempest,0.17,0.08
"Coffin Queen",Tempest,6.04,2.42
"Coiled Tinviper",Tempest,0.17,0.08
"Cold Storage",Tempest,4.21,1.68
"Commander Greven il-Vec",Tempest,1.09,0.08
"Corpse Dance",Tempest,8.12,3.25
Counterspell,Tempest,1.18,0.08
"Crazed Armodon",Tempest,0.41,0.08
"Crown of Flames",Tempest,0.21,0.08
"Cursed Scroll",Tempest,12.34,5.55
"Dark Banishing",Tempest,0.18,0.08
"Dark Ritual",Tempest,0.48,0.08
"Darkling Stalker",Tempest,0.17,0.08
"Dauthi Embrace",Tempest,1.67,0.08
"Dauthi Ghoul",Tempest,0.33,0.08
"Dauthi Horror",Tempest,0.21,0.08
"Dauthi Marauder",Tempest,0.18,0.08
"Dauthi Mercenary",Tempest,0.33,0.08
"Dauthi Mindripper",Tempest,0.24,0.08
"Dauthi Slayer",Tempest,0.24,0.08
Deadshot,Tempest,0.44,0.08
"Death Pits of Rath",Tempest,0.60,0.08
"Diabolic Edict",Tempest,0.51,0.08
"Dirtcowl Wurm",Tempest,0.66,0.08
Disenchant,Tempest,0.23,0.08
Dismiss,Tempest,0.24,0.08
"Disturbed Burial",Tempest,0.24,0.08
Dracoplasm,Tempest,0.48,0.08
"Dread of Night",Tempest,2.82,0.25
"Dream Cache",Tempest,0.18,0.08
"Dregs of Sorrow",Tempest,0.47,0.08
Duplicity,Tempest,0.44,0.08
Earthcraft,Tempest,52.22,28.72
"Echo Chamber",Tempest,0.44,0.08
"Eladamri, Lord of Leaves",Tempest,18.04,8.12
"Eladamri's Vineyard",Tempest,2.42,0.25
"Elite Javelineer",Tempest,0.18,0.08
"Elven Warhounds",Tempest,0.46,0.08
"Elvish Fury",Tempest,0.15,0.08
"Emerald Medallion",Tempest,5.50,2.20
"Emmessi Tome",Tempest,0.45,0.08
"Endless Scream",Tempest,0.21,0.08
Energizer,Tempest,0.41,0.08
Enfeeblement,Tempest,0.16,0.08
"Enraging Licid",Tempest,0.24,0.08
"Ertai's Meddling",Tempest,0.71,0.08
"Escaped Shapeshifter",Tempest,0.70,0.08
"Essence Bottle",Tempest,0.23,0.08
"Evincar's Justice",Tempest,0.47,0.08
Excavator,Tempest,0.24,0.08
Extinction,Tempest,0.95,0.08
"Fevered Convulsions",Tempest,0.83,0.08
"Field of Souls",Tempest,0.49,0.08
"Fighting Drake",Tempest,0.23,0.08
Firefly,Tempest,0.24,0.08
Fireslinger,Tempest,0.20,0.08
"Flailing Drake",Tempest,0.24,0.08
"Flickering Ward",Tempest,2.49,0.25
"Flowstone Giant",Tempest,0.17,0.08
"Flowstone Salamander",Tempest,0.22,0.08
"Flowstone Sculpture",Tempest,0.47,0.08
"Flowstone Wyvern",Tempest,0.45,0.08
"Fool's Tome",Tempest,0.47,0.08
"Forest (Cloudy)",Tempest,0.48,0.08
"Forest (Ledge)",Tempest,0.29,0.08
"Forest (Pond)",Tempest,0.42,0.08
"Forest (Skyward)",Tempest,0.42,0.08
"Frog Tongue",Tempest,0.21,0.08
"Fugitive Druid",Tempest,0.37,0.08
"Furnace of Rath",Tempest,2.62,0.25
Fylamarid,Tempest,0.23,0.08
Gallantry,Tempest,0.24,0.08
"Gaseous Form",Tempest,0.15,0.08
"Gerrard's Battle Cry",Tempest,0.43,0.08
"Ghost Town",Tempest,1.89,0.08
"Giant Crab",Tempest,0.15,0.08
"Giant Strength",Tempest,0.17,0.08
"Goblin Bombardment",Tempest,4.27,1.71
Gravedigger,Tempest,0.18,0.08
Grindstone,Tempest,21.84,9.83
"Hand to Hand",Tempest,0.46,0.08
"Hanna's Custody",Tempest,1.10,0.08
Harrow,Tempest,0.30,0.08
Havoc,Tempest,0.24,0.08
"Heart Sliver",Tempest,0.46,0.08
"Heartwood Dryad",Tempest,0.16,0.08
"Heartwood Giant",Tempest,0.39,0.08
"Heartwood Treefolk",Tempest,0.28,0.08
"Helm of Possession",Tempest,3.94,1.58
"Hero's Resolve",Tempest,0.18,0.08
"Horned Sliver",Tempest,8.08,3.23
"Horned Turtle",Tempest,0.15,0.08
Humility,Tempest,31.30,15.65
"Imps' Taunt",Tempest,0.24,0.08
Insight,Tempest,0.24,0.08
Interdict,Tempest,0.28,0.08
Intuition,Tempest,55.10,30.31
Invulnerability,Tempest,0.24,0.08
"Island (Crashing Waves)",Tempest,0.24,0.08
"Island (Inlet)",Tempest,0.29,0.08
"Island (Rocky Path)",Tempest,0.29,0.08
"Island (Spire)",Tempest,0.35,0.08
"Jackal Pup",Tempest,0.24,0.08
"Jet Medallion",Tempest,15.20,6.84
"Jinxed Idol",Tempest,0.48,0.08
Kezzerdrix,Tempest,0.39,0.08
Kindle,Tempest,0.18,0.08
"Knight of Dawn",Tempest,0.26,0.08
"Knight of Dusk",Tempest,0.25,0.08
Krakilin,Tempest,0.29,0.08
"Leeching Licid",Tempest,0.23,0.08
"Legacy's Allure",Tempest,0.37,0.08
Legerdemain,Tempest,0.33,0.08
"Light of Day",Tempest,0.30,0.08
"Lightning Blast",Tempest,0.16,0.08
"Lightning Elemental",Tempest,0.17,0.08
"Living Death",Tempest,4.53,1.81
Lobotomy,Tempest,0.27,0.08
"Lotus Petal",Tempest,8.65,3.46
"Lowland Giant",Tempest,0.17,0.08
"Maddening Imp",Tempest,1.65,0.08
Magmasaur,Tempest,0.48,0.08
"Magnetic Web",Tempest,0.43,0.08
"Mana Severance",Tempest,10.40,4.68
Manakin,Tempest,0.23,0.08
"Manta Riders",Tempest,0.17,0.08
"Marble Titan",Tempest,4.17,1.67
"Marsh Lurker",Tempest,0.18,0.08
"Master Decoy",Tempest,0.17,0.08
Mawcor,Tempest,0.43,0.08
"Maze of Shadows",Tempest,0.24,0.08
Meditate,Tempest,6.64,2.66
"Metallic Sliver",Tempest,0.25,0.08
"Mindwhip Sliver",Tempest,0.31,0.08
"Minion of the Wastes",Tempest,0.47,0.08
"Mirri's Guile",Tempest,25.71,12.86
"Mnemonic Sliver",Tempest,0.31,0.08
"Mogg Cannon",Tempest,0.24,0.08
"Mogg Conscripts",Tempest,0.46,0.08
"Mogg Fanatic",Tempest,0.24,0.08
"Mogg Hollows",Tempest,0.24,0.08
"Mogg Raider",Tempest,0.42,0.08
"Mogg Squad",Tempest,0.24,0.08
"Mongrel Pack",Tempest,0.46,0.08
"Mountain (Joined)",Tempest,0.59,0.08
"Mountain (Left)",Tempest,0.28,0.08
"Mountain (Right)",Tempest,0.29,0.08
"Mountain (Vertical)",Tempest,0.26,0.08
"Mounted Archers",Tempest,0.18,0.08
"Muscle Sliver",Tempest,1.17,0.08
"Natural Spring",Tempest,0.17,0.08
"Nature's Revolt",Tempest,0.86,0.08
"Needle Storm",Tempest,0.23,0.08
"No Quarter",Tempest,0.44,0.08
"Nurturing Licid",Tempest,0.24,0.08
Opportunist,Tempest,0.24,0.08
"Oracle en-Vec",Tempest,0.48,0.08
"Orim, Samite Healer",Tempest,1.49,0.08
"Orim's Prayer",Tempest,0.37,0.08
Overrun,Tempest,0.32,0.08
Pacifism,Tempest,0.20,0.08
Pallimud,Tempest,0.46,0.08
"Patchwork Gnomes",Tempest,0.24,0.08
"Pearl Medallion",Tempest,7.02,2.81
"Pegasus Refuge",Tempest,0.47,0.08
Perish,Tempest,0.52,0.08
"Phyrexian Grimoire",Tempest,0.43,0.08
"Phyrexian Hulk",Tempest,0.23,0.08
"Phyrexian Splicer",Tempest,0.27,0.08
"Pincher Beetles",Tempest,0.15,0.08
"Pine Barrens",Tempest,0.75,0.08
"Pit Imp",Tempest,0.18,0.08
"Plains (Ant Hill)",Tempest,0.60,0.08
"Plains (Dead Tree)",Tempest,0.44,0.08
"Plains (Rocks)",Tempest,0.32,0.08
"Plains (Shrub)",Tempest,0.38,0.08
"Power Sink",Tempest,0.21,0.08
Precognition,Tempest,0.43,0.08
Propaganda,Tempest,8.65,3.46
"Puppet Strings",Tempest,0.72,0.08
"Quickening Licid",Tempest,0.24,0.08
"Rain of Tears",Tempest,0.33,0.08
"Rampant Growth",Tempest,0.30,0.08
"Ranger en-Vec",Tempest,0.24,0.08
"Rathi Dragon",Tempest,0.56,0.08
"Rats of Rath",Tempest,0.23,0.08
"Reality Anchor",Tempest,0.16,0.08
Reanimate,Tempest,10.51,4.73
Reap,Tempest,3.04,1.22
"Reckless Spite",Tempest,0.24,0.08
Recycle,Tempest,2.94,0.25
"Reflecting Pool",Tempest,15.68,7.06
"Renegade Warlord",Tempest,0.24,0.08
Repentance,Tempest,0.24,0.08
Respite,Tempest,0.23,0.08
"Rolling Thunder",Tempest,0.24,0.08
"Root Maze",Tempest,3.79,1.52
"Rootbreaker Wurm",Tempest,0.15,0.08
Rootwalla,Tempest,0.15,0.08
"Rootwater Depths",Tempest,0.24,0.08
"Rootwater Diver",Tempest,0.28,0.08
"Rootwater Hunter",Tempest,0.23,0.08
"Rootwater Matriarch",Tempest,0.48,0.08
"Rootwater Shaman",Tempest,0.52,0.08
"Ruby Medallion",Tempest,8.31,3.32
"Sacred Guide",Tempest,0.42,0.08
"Sadistic Glee",Tempest,0.24,0.08
Safeguard,Tempest,0.46,0.08
"Salt Flats",Tempest,0.94,0.08
"Sandstone Warrior",Tempest,0.18,0.08
"Sapphire Medallion",Tempest,21.18,9.53
Sarcomancy,Tempest,2.80,0.25
Scabland,Tempest,0.85,0.08
"Scalding Tongs",Tempest,0.47,0.08
"Scorched Earth",Tempest,0.48,0.08
Scragnoth,Tempest,0.24,0.08
"Screeching Harpy",Tempest,0.24,0.08
"Scroll Rack",Tempest,61.74,33.96
"Sea Monster",Tempest,0.18,0.08
"Searing Touch",Tempest,0.24,0.08
"Seeker of Skybreak",Tempest,0.47,0.08
"Segmented Wurm",Tempest,0.24,0.08
"Selenia, Dark Angel",Tempest,4.29,1.72
"Serene Offering",Tempest,0.26,0.08
"Servant of Volrath",Tempest,0.21,0.08
"Shadow Rift",Tempest,1.16,0.08
Shadowstorm,Tempest,0.23,0.08
Shatter,Tempest,0.18,0.08
"Shimmering Wings",Tempest,0.19,0.08
Shocker,Tempest,1.04,0.08
"Sky Spirit",Tempest,0.24,0.08
