"Product Name",Category,"Sell Price","Buy Price"
Amnesia,"The Dark",2.37,0.25
"Angry Mob","The Dark",1.03,0.08
"Apprentice Wizard","The Dark",3.79,1.52
"Ashes to Ashes","The Dark",0.67,0.08
"Ball Lightning","The Dark",40.28,20.14
Banshee,"The Dark",0.38,0.08
"Barl's Cage","The Dark",1.77,0.08
"Blood Moon","The Dark",67.40,37.07
"Blood of the Martyr","The Dark",0.56,0.08
"Bog Imp","The Dark",0.24,0.08
"Bog Rats","The Dark",0.24,0.08
"Bone Flute","The Dark",0.33,0.08
"Book of Rass","The Dark",0.86,0.08
Brainwash,"The Dark",0.22,0.08
"Brothers of Fire","The Dark",0.33,0.08
"Carnivorous Plant","The Dark",0.24,0.08
"Cave People","The Dark",0.32,0.08
"City of Shadows","The Dark",21.85,9.83
Cleansing,"The Dark",7.99,3.20
"Coal Golem","The Dark",0.48,0.08
"Curse Artifact","The Dark",0.39,0.08
"Dance of Many","The Dark",4.44,1.78
"Dark Heart of the Wood","The Dark",0.24,0.08
"Dark Sphere","The Dark",3.73,1.49
"Deep Water","The Dark",0.24,0.08
"Diabolic Machine","The Dark",0.33,0.08
Drowned,"The Dark",0.24,0.08
"Dust to Dust","The Dark",1.02,0.08
"Eater of the Dead","The Dark",8.67,3.47
"Electric Eel","The Dark",0.48,0.08
"Elves of Deep Shadow","The Dark",7.08,2.83
Erosion,"The Dark",0.24,0.08
"Eternal Flame","The Dark",6.76,2.70
Exorcist,"The Dark",9.44,3.78
Fasting,"The Dark",0.39,0.08
"Fellwar Stone","The Dark",11.39,5.13
Festival,"The Dark",0.27,0.08
"Fire and Brimstone","The Dark",0.35,0.08
"Fire Drake","The Dark",0.37,0.08
Fissure,"The Dark",0.24,0.08
Flood,"The Dark",0.53,0.08
"Fountain of Youth","The Dark",0.94,0.08
"Frankenstein's Monster","The Dark",7.59,3.04
"Gaea's Touch","The Dark",3.42,1.37
"Ghost Ship","The Dark",0.24,0.08
"Giant Shark","The Dark",0.24,0.08
"Goblin Caves","The Dark",0.64,0.08
"Goblin Digging Team","The Dark",0.24,0.08
"Goblin Hero","The Dark",0.21,0.08
"Goblin Rock Sled","The Dark",0.24,0.08
"Goblin Shrine","The Dark",0.24,0.08
"Goblin Wizard","The Dark",29.14,14.57
"Goblins of the Flarg","The Dark",0.24,0.08
"Grave Robbers","The Dark",6.71,2.68
"Hidden Path","The Dark",5.61,2.24
"Holy Light","The Dark",1.19,0.08
Inferno,"The Dark",2.94,0.25
Inquisition,"The Dark",0.24,0.08
"Knights of Thorn","The Dark",5.19,2.08
"Land Leeches","The Dark",0.24,0.08
Leviathan,"The Dark",6.15,2.46
"Living Armor","The Dark",0.40,0.08
Lurker,"The Dark",3.87,1.55
"Mana Clash","The Dark",2.83,0.25
"Mana Vortex","The Dark",22.45,10.10
"Marsh Gas","The Dark",0.24,0.08
"Marsh Goblins","The Dark",0.24,0.08
"Marsh Viper","The Dark",0.24,0.08
"Martyr's Cry","The Dark",5.69,2.28
"Maze of Ith","The Dark",34.22,17.11
"Merfolk Assassin","The Dark",0.92,0.08
"Mind Bomb","The Dark",3.23,1.29
"Miracle Worker","The Dark",0.24,0.08
Morale,"The Dark",0.24,0.08
"Murk Dwellers","The Dark",0.24,0.08
"Nameless Race","The Dark",4.74,1.90
Necropolis,"The Dark",0.95,0.08
"Niall Silvain","The Dark",5.23,2.09
"Orc General","The Dark",0.43,0.08
"People of the Woods","The Dark",0.67,0.08
Pikemen,"The Dark",0.23,0.08
Preacher,"The Dark",35.63,17.82
"Psychic Allergy","The Dark",3.33,1.33
"Rag Man","The Dark",1.72,0.08
"Reflecting Mirror","The Dark",0.51,0.08
Riptide,"The Dark",0.24,0.08
Runesword,"The Dark",0.52,0.08
"Safe Haven","The Dark",3.38,1.35
"Savaen Elves","The Dark",0.24,0.08
Scarecrow,"The Dark",0.89,0.08
"Scarwood Bandits","The Dark",5.21,2.08
"Scarwood Goblins","The Dark",0.24,0.08
"Scarwood Hag","The Dark",0.36,0.08
"Scavenger Folk","The Dark",0.25,0.08
"Season of the Witch","The Dark",10.45,4.70
"Sisters of the Flame","The Dark",0.59,0.08
"Skull of Orm","The Dark",1.60,0.08
"Sorrow's Path","The Dark",4.91,1.96
"Spitting Slug","The Dark",0.48,0.08
Squire,"The Dark",0.24,0.08
"Standing Stones","The Dark",0.34,0.08
"Stone Calendar","The Dark",12.45,5.60
"Sunken City","The Dark",0.26,0.08
"Tangle Kelp","The Dark",0.37,0.08
"The Fallen","The Dark",0.40,0.08
"Tivadar's Crusade","The Dark",0.94,0.08
"Tormod's Crypt","The Dark",15.53,6.99
"Tower of Coireall","The Dark",0.38,0.08
Tracker,"The Dark",5.67,2.27
"Uncle Istvan","The Dark",0.79,0.08
Venom,"The Dark",0.24,0.08
"Wand of Ith","The Dark",0.94,0.08
"War Barge","The Dark",0.48,0.08
"Water Wurm","The Dark",0.24,0.08
Whippoorwill,"The Dark",0.70,0.08
"Witch Hunter","The Dark",2.85,0.25
"Word of Binding","The Dark",0.24,0.08
"Worms of the Earth","The Dark",4.75,1.90
"Wormwood Treefolk","The Dark",4.22,1.69
