"Product Name",Category,"Sell Price","Buy Price"
"Abhorrent Overlord",Theros,0.44,0.00
"Agent of Horizons",Theros,0.14,0.00
"Agent of the Fates",Theros,0.35,0.00
"Akroan Crusader",Theros,0.18,0.00
"Akroan Hoplite",Theros,0.22,0.00
"Akroan Horse",Theros,0.29,0.00
"Anax and Cymede",Theros,0.41,0.00
"Anger of the Gods",Theros,2.85,0.25
Annul,Theros,0.16,0.00
"Anthousa, Setessan Hero",Theros,0.32,0.00
"Anvilwrought Raptor",Theros,0.19,0.00
"Aqueous Form",Theros,0.23,0.00
"Arbor Colossus",Theros,0.32,0.00
"Arena Athlete",Theros,0.21,0.00
"Artisan of Forms",Theros,0.35,0.00
"Artisan's Sorrow",Theros,0.23,0.00
"Ashen Rider",Theros,1.81,0.10
"Ashiok, Nightmare Weaver",Theros,6.86,3.22
"Asphodel Wanderer",Theros,0.14,0.00
"Baleful Eidolon",Theros,0.14,0.00
"Battlewise Hoplite",Theros,0.20,0.00
"Battlewise Valor",Theros,0.14,0.00
"Benthic Giant",Theros,0.14,0.00
"Bident of Thassa",Theros,0.71,0.10
"Bird Token",Theros,0.30,0.00
"Blood-Toll Harpy",Theros,0.14,0.00
"Boar Token",Theros,0.29,0.00
"Boon of Erebos",Theros,0.14,0.00
"Boon Satyr",Theros,0.37,0.00
"Borderland Minotaur",Theros,0.14,0.00
Boulderfall,Theros,0.14,0.00
"Bow of Nylea",Theros,2.61,0.25
"Breaching Hippocamp",Theros,0.19,0.00
"Bronze Sable",Theros,0.14,0.00
"Burnished Hart",Theros,1.89,0.10
"Cavalry Pegasus",Theros,0.15,0.00
"Cavern Lampad",Theros,0.14,0.00
"Celestial Archon",Theros,0.31,0.00
"Centaur Battlemaster",Theros,0.21,0.00
"Chained to the Rocks",Theros,0.47,0.00
"Chosen by Heliod",Theros,0.14,0.00
"Chronicler of Heroes",Theros,0.22,0.00
"Cleric Token",Theros,3.42,1.61
"Coastline Chimera",Theros,0.14,0.00
"Colossus of Akros",Theros,1.18,0.10
"Commune with the Gods",Theros,0.19,0.00
"Coordinated Assault",Theros,0.20,0.00
"Crackling Triton",Theros,0.14,0.00
"Curse of the Swine",Theros,0.54,0.10
"Cutthroat Maneuver",Theros,0.19,0.00
"Dark Betrayal",Theros,0.22,0.00
"Dauntless Onslaught",Theros,0.23,0.00
"Daxos of Meletis",Theros,0.33,0.00
"Deathbellow Raider",Theros,0.14,0.00
"Decorated Griffin",Theros,0.21,0.00
"Defend the Hearth",Theros,0.14,0.00
Demolish,Theros,0.14,0.00
"Destructive Revelry",Theros,0.29,0.00
"Disciple of Phenax",Theros,0.14,0.00
Dissolve,Theros,0.29,0.00
"Divine Verdict",Theros,0.14,0.00
"Dragon Mantle",Theros,0.18,0.00
"Elemental Token",Theros,0.74,0.10
"Elspeth, Sun's Champion",Theros,9.97,4.69
"Ember Swallower",Theros,0.29,0.00
"Emblem - Elspeth, Sun's Champion",Theros,2.85,0.25
"Ephara's Warden",Theros,0.14,0.00
"Erebos, God of the Dead",Theros,9.48,4.46
"Erebos's Emissary",Theros,0.22,0.00
"Evangel of Heliod",Theros,0.24,0.00
"Fabled Hero",Theros,0.47,0.00
"Fade into Antiquity",Theros,0.14,0.00
"Fanatic of Mogis",Theros,0.22,0.00
"Fate Foretold",Theros,0.14,0.00
"Favored Hoplite",Theros,0.24,0.00
"Felhide Minotaur",Theros,0.07,0.00
"Feral Invocation",Theros,0.14,0.00
"Firedrinker Satyr",Theros,0.33,0.00
"Flamecast Wheel",Theros,0.22,0.00
"Flamespeaker Adept",Theros,0.21,0.00
"Fleecemane Lion",Theros,0.67,0.10
"Fleetfeather Sandals",Theros,0.18,0.00
"Fleshmad Steed",Theros,0.15,0.00
"Forest (246)",Theros,0.18,0.00
"Forest (247)",Theros,0.18,0.00
"Forest (248)",Theros,0.23,0.00
"Forest (249)",Theros,0.19,0.00
Gainsay,Theros,0.23,0.00
"Gift of Immortality",Theros,1.76,0.10
"Glare of Heresy",Theros,0.24,0.00
"Gods Willing",Theros,0.19,0.00
"Golem Token",Theros,0.19,0.00
"Gray Merchant of Asphodel",Theros,0.67,0.10
Griptide,Theros,0.14,0.00
"Guardians of Meletis",Theros,0.15,0.00
"Hammer of Purphoros",Theros,0.98,0.10
"Harpy Token",Theros,0.19,0.00
"Heliod, God of the Sun",Theros,5.04,2.37
"Heliod's Emissary",Theros,0.22,0.00
"Hero's Downfall",Theros,2.84,0.25
"Hopeful Eidolon",Theros,0.17,0.00
"Horizon Chimera",Theros,0.23,0.00
"Horizon Scholar",Theros,0.22,0.00
"Hundred-Handed One",Theros,0.32,0.00
"Hunt the Hunter",Theros,0.20,0.00
"Hythonia the Cruel",Theros,0.71,0.10
"Ill-Tempered Cyclops",Theros,0.14,0.00
"Insatiable Harpy",Theros,0.21,0.00
"Island (234)",Theros,0.19,0.00
"Island (235)",Theros,0.18,0.00
"Island (236)",Theros,0.19,0.00
"Island (237)",Theros,0.19,0.00
"Karametra's Acolyte",Theros,0.26,0.00
"Keepsake Gorgon",Theros,0.23,0.00
"Kragma Warcaller",Theros,0.24,0.00
"Labyrinth Champion",Theros,0.33,0.00
"Lagonna-Band Elder",Theros,0.14,0.00
"Lash of the Whip",Theros,0.14,0.00
"Last Breath",Theros,0.14,0.00
"Leafcrown Dryad",Theros,0.15,0.00
"Leonin Snarecaster",Theros,0.14,0.00
"Lightning Strike",Theros,0.18,0.00
"Loathsome Catoblepas",Theros,0.14,0.00
"Lost in a Labyrinth",Theros,0.14,0.00
"Magma Jet",Theros,0.23,0.00
"March of the Returned",Theros,0.14,0.00
"Master of Waves",Theros,1.89,0.10
"Medomai the Ageless",Theros,1.32,0.10
"Meletis Charlatan",Theros,0.29,0.00
"Messenger's Speed",Theros,0.15,0.00
"Minotaur Skullcleaver",Theros,0.14,0.00
"Mistcutter Hydra",Theros,1.42,0.10
"Mnemonic Wall",Theros,0.18,0.00
"Mogis's Marauder",Theros,0.23,0.00
"Mountain (242)",Theros,0.18,0.00
"Mountain (243)",Theros,0.17,0.00
"Mountain (244)",Theros,0.16,0.00
"Mountain (245)",Theros,0.19,0.00
"Nemesis of Mortals",Theros,0.24,0.00
"Nessian Asp",Theros,0.14,0.00
"Nessian Courser",Theros,0.14,0.00
Nighthowler,Theros,0.41,0.00
"Nimbus Naiad",Theros,0.15,0.00
"Nykthos, Shrine to Nyx",Theros,11.17,5.25
"Nylea, God of the Hunt",Theros,8.65,4.07
"Nylea's Disciple",Theros,0.15,0.00
"Nylea's Emissary",Theros,0.23,0.00
"Nylea's Presence",Theros,0.15,0.00
"Observant Alseid",Theros,0.15,0.00
Omenspeaker,Theros,0.15,0.00
"Opaline Unicorn",Theros,0.17,0.00
"Ordeal of Erebos",Theros,0.23,0.00
"Ordeal of Heliod",Theros,0.24,0.00
"Ordeal of Nylea",Theros,0.24,0.00
"Ordeal of Purphoros",Theros,0.24,0.00
"Ordeal of Thassa",Theros,0.23,0.00
"Peak Eruption",Theros,0.22,0.00
"Phalanx Leader",Theros,0.24,0.00
"Pharika's Cure",Theros,0.15,0.00
"Pharika's Mender",Theros,0.23,0.00
"Pheres-Band Centaurs",Theros,0.14,0.00
"Plains (230)",Theros,0.18,0.00
"Plains (231)",Theros,0.19,0.00
"Plains (232)",Theros,0.19,0.00
"Plains (233)",Theros,0.19,0.00
"Polis Crusher",Theros,0.31,0.00
"Polukranos, World Eater",Theros,1.34,0.10
"Portent of Betrayal",Theros,0.14,0.00
"Prescient Chimera",Theros,0.14,0.00
"Priest of Iroas",Theros,0.14,0.00
"Prognostic Sphinx",Theros,0.32,0.00
"Prophet of Kruphix",Theros,0.94,0.10
"Prowler's Helm",Theros,0.25,0.00
