"Product Name",Category,"Sell Price","Buy Price"
"Acclaimed Contender","Throne of Eldraine",1.32,0.08
"Acclaimed Contender (Extended Art)","Throne of Eldraine",-,-
"Alela, Artful Provocateur","Throne of Eldraine",34.19,17.10
"All That Glitters","Throne of Eldraine",0.25,0.01
"Animating Faerie // Bring to Life","Throne of Eldraine",0.24,0.01
"Animating Faerie // Bring to Life (Showcase)","Throne of Eldraine",9.49,3.80
"Arcane Signet","Throne of Eldraine",28.03,14.02
"Arcanist's Owl","Throne of Eldraine",0.29,0.01
"Archon of Absolution","Throne of Eldraine",0.33,0.01
"Ardenvale Paladin","Throne of Eldraine",0.24,0.00
"Ardenvale Tactician // Dizzying Swoop","Throne of Eldraine",0.23,0.00
"Ardenvale Tactician // Dizzying Swoop (Showcase)","Throne of Eldraine",-,-
"Ayara, First of Locthwain","Throne of Eldraine",2.14,0.25
"Ayara, First of Locthwain (Extended Art)","Throne of Eldraine",-,-
"Bake into a Pie","Throne of Eldraine",0.21,0.00
"Banish into Fable","Throne of Eldraine",3.80,1.52
"Barge In","Throne of Eldraine",0.24,0.00
"Barrow Witches","Throne of Eldraine",0.24,0.00
"Bartered Cow","Throne of Eldraine",0.24,0.00
"Beanstalk Giant // Fertile Footsteps","Throne of Eldraine",0.28,0.01
"Beanstalk Giant // Fertile Footsteps (Showcase)","Throne of Eldraine",9.49,3.80
"Bear Token","Throne of Eldraine",0.28,0.00
"Belle of the Brawl","Throne of Eldraine",0.24,0.01
"Beloved Princess","Throne of Eldraine",0.21,0.00
"Blacklance Paragon","Throne of Eldraine",1.22,0.08
"Blacklance Paragon (Extended Art)","Throne of Eldraine",-,-
"Bloodhaze Wolverine","Throne of Eldraine",0.24,0.00
"Blow Your House Down","Throne of Eldraine",0.24,0.00
"Boar Token","Throne of Eldraine",0.32,0.00
"Bog Naughty","Throne of Eldraine",0.24,0.01
"Bonecrusher Giant // Stomp","Throne of Eldraine",3.74,1.50
"Bonecrusher Giant // Stomp (Showcase)","Throne of Eldraine",-,-
"Bramblefort Fink","Throne of Eldraine",0.29,0.01
"Brazen Borrower // Petty Theft","Throne of Eldraine",17.08,7.69
"Brazen Borrower // Petty Theft (Showcase)","Throne of Eldraine",-,-
"Brimstone Trebuchet","Throne of Eldraine",0.24,0.00
"Burning-Yard Trainer","Throne of Eldraine",0.24,0.01
"Castle Ardenvale","Throne of Eldraine",2.28,0.25
"Castle Ardenvale (Extended Art)","Throne of Eldraine",-,-
"Castle Embereth","Throne of Eldraine",2.01,0.25
"Castle Embereth (Extended Art)","Throne of Eldraine",-,-
"Castle Garenbrig","Throne of Eldraine",2.84,0.25
"Castle Garenbrig (Extended Art)","Throne of Eldraine",-,-
"Castle Locthwain","Throne of Eldraine",2.29,0.25
"Castle Locthwain (Extended Art)","Throne of Eldraine",-,-
"Castle Vantress","Throne of Eldraine",2.44,0.25
"Castle Vantress (Extended Art)","Throne of Eldraine",-,-
"Cauldron Familiar","Throne of Eldraine",0.24,0.01
"Cauldron's Gift","Throne of Eldraine",0.24,0.01
"Charmed Sleep","Throne of Eldraine",0.24,0.00
"Charming Prince","Throne of Eldraine",3.47,1.39
"Charming Prince (Extended Art)","Throne of Eldraine",-,-
"Chittering Witch","Throne of Eldraine",4.64,1.86
"Chulane, Teller of Tales","Throne of Eldraine",28.49,14.25
"Clackbridge Troll","Throne of Eldraine",1.76,0.08
"Clackbridge Troll (Extended Art)","Throne of Eldraine",-,-
"Claim the Firstborn","Throne of Eldraine",0.40,0.01
"Clockwork Servant","Throne of Eldraine",0.24,0.01
"Command Tower","Throne of Eldraine",4.72,1.89
"Corridor Monitor","Throne of Eldraine",0.24,0.00
"Covetous Urge","Throne of Eldraine",0.24,0.01
"Crashing Drawbridge","Throne of Eldraine",0.21,0.00
"Crystal Slipper","Throne of Eldraine",0.24,0.00
"Curious Pair // Treats to Share","Throne of Eldraine",0.24,0.00
"Curious Pair // Treats to Share (Showcase)","Throne of Eldraine",-,-
"Dance of the Manse","Throne of Eldraine",0.99,0.08
"Dance of the Manse (Extended Art)","Throne of Eldraine",-,-
"Deafening Silence","Throne of Eldraine",1.21,0.01
"Deathless Knight","Throne of Eldraine",0.33,0.01
"Didn't Say Please","Throne of Eldraine",0.24,0.00
"Doom Foretold","Throne of Eldraine",0.86,0.08
"Doom Foretold (Extended Art)","Throne of Eldraine",-,-
"Drown in the Loch","Throne of Eldraine",2.18,0.25
"Dwarf Token","Throne of Eldraine",0.37,0.00
"Dwarven Mine","Throne of Eldraine",0.24,0.00
"Edgewall Innkeeper","Throne of Eldraine",0.25,0.01
"Elite Headhunter","Throne of Eldraine",0.24,0.01
Embercleave,"Throne of Eldraine",4.74,1.90
"Embercleave (Extended Art)","Throne of Eldraine",-,-
"Embereth Paladin","Throne of Eldraine",0.24,0.00
"Embereth Shieldbreaker // Battle Display","Throne of Eldraine",0.24,0.01
"Embereth Shieldbreaker // Battle Display (Showcase)","Throne of Eldraine",9.49,3.80
"Embereth Skyblazer","Throne of Eldraine",3.68,1.47
"Emry, Lurker of the Loch","Throne of Eldraine",7.63,3.05
"Emry, Lurker of the Loch (Extended Art)","Throne of Eldraine",-,-
"Enchanted Carriage","Throne of Eldraine",0.24,0.01
"Epic Downfall","Throne of Eldraine",0.30,0.01
"Escape to the Wilds","Throne of Eldraine",0.89,0.08
"Escape to the Wilds (Extended Art)","Throne of Eldraine",-,-
"Eye Collector","Throne of Eldraine",0.24,0.00
"Fabled Passage","Throne of Eldraine",9.01,3.60
"Fabled Passage (Extended Art)","Throne of Eldraine",-,-
"Fae of Wishes // Granted","Throne of Eldraine",2.37,0.25
"Fae of Wishes // Granted (Showcase)","Throne of Eldraine",-,-
"Faeburrow Elder","Throne of Eldraine",2.55,0.25
"Faeburrow Elder (Extended Art)","Throne of Eldraine",-,-
"Faerie Formation","Throne of Eldraine",14.24,6.41
"Faerie Guidemother // Gift of the Fae","Throne of Eldraine",0.24,0.00
"Faerie Guidemother // Gift of the Fae (Showcase)","Throne of Eldraine",-,-
"Faerie Token","Throne of Eldraine",0.37,0.00
"Faerie Vandal","Throne of Eldraine",0.24,0.01
"Feasting Troll King","Throne of Eldraine",2.00,0.08
"Feasting Troll King (Extended Art)","Throne of Eldraine",-,-
"Fell the Pheasant","Throne of Eldraine",0.24,0.00
"Ferocity of the Wilds","Throne of Eldraine",0.24,0.01
"Fervent Champion","Throne of Eldraine",3.38,1.35
"Fervent Champion (Extended Art)","Throne of Eldraine",-,-
"Festive Funeral","Throne of Eldraine",0.24,0.00
"Fierce Witchstalker","Throne of Eldraine",0.24,0.00
"Fireborn Knight","Throne of Eldraine",0.24,0.01
"Fires of Invention","Throne of Eldraine",3.74,1.50
"Fires of Invention (Extended Art)","Throne of Eldraine",-,-
"Flaxen Intruder // Welcome Home","Throne of Eldraine",0.24,0.01
"Flaxen Intruder // Welcome Home (Showcase)","Throne of Eldraine",9.49,3.80
Fling,"Throne of Eldraine",0.24,0.00
Flutterfox,"Throne of Eldraine",0.24,0.00
"Folio of Fancies","Throne of Eldraine",0.94,0.08
"Folio of Fancies (Extended Art)","Throne of Eldraine",-,-
"Food Token","Throne of Eldraine",0.24,0.00
"Food Token (16)","Throne of Eldraine",0.24,0.00
"Food Token (17)","Throne of Eldraine",0.24,0.00
"Food Token (18)","Throne of Eldraine",0.24,0.00
"Foreboding Fruit","Throne of Eldraine",0.24,0.00
Forest,"Throne of Eldraine",0.50,0.00
"Forest (267)","Throne of Eldraine",0.69,0.00
"Forest (268)","Throne of Eldraine",0.69,0.00
"Forest (269)","Throne of Eldraine",0.69,0.00
"Forever Young","Throne of Eldraine",0.22,0.00
"Fortifying Provisions","Throne of Eldraine",0.24,0.00
"Foulmire Knight // Profane Insight","Throne of Eldraine",0.24,0.01
"Foulmire Knight // Profane Insight (Showcase)","Throne of Eldraine",9.49,3.80
Frogify,"Throne of Eldraine",0.24,0.01
"Gadwick, the Wizened","Throne of Eldraine",1.81,0.08
