"Product Name",Category,"Sell Price","Buy Price"
Accelerate,Torment,1.21,0.00
"Acorn Harvest",Torment,0.23,0.00
"Alter Reality",Torment,0.48,0.08
"Ambassador Laquatus",Torment,0.93,0.08
"Angel of Retribution",Torment,0.44,0.08
"Anurid Scavenger",Torment,0.24,0.01
Aquamoeba,Torment,0.20,0.00
"Arrogant Wurm",Torment,0.65,0.01
"Aven Trooper",Torment,0.18,0.00
"Balshan Collaborator",Torment,0.24,0.01
"Balthor the Stout",Torment,0.44,0.08
"Barbarian Outcast",Torment,0.16,0.00
"Basking Rootwalla",Torment,0.24,0.00
"Boneshard Slasher",Torment,0.24,0.01
Breakthrough,Torment,0.31,0.01
"Cabal Coffers",Torment,43.31,21.66
"Cabal Ritual",Torment,1.67,0.00
"Cabal Surgeon",Torment,0.19,0.00
"Cabal Torturer",Torment,0.18,0.00
"Carrion Rats",Torment,0.18,0.00
"Carrion Wurm",Torment,0.24,0.01
"Centaur Chieftain",Torment,0.24,0.01
"Centaur Veteran",Torment,0.15,0.00
"Cephalid Aristocrat",Torment,0.17,0.00
"Cephalid Illusionist",Torment,0.28,0.01
"Cephalid Sage",Torment,0.24,0.01
"Cephalid Snitch",Torment,0.18,0.00
"Cephalid Vandal",Torment,0.39,0.08
"Chainer, Dementia Master",Torment,3.97,1.59
"Chainer's Edict",Torment,3.32,1.33
"Churning Eddy",Torment,0.18,0.00
"Circular Logic",Torment,1.40,0.01
"Cleansing Meditation",Torment,2.56,0.25
Compulsion,Torment,0.24,0.01
"Coral Net",Torment,0.23,0.00
"Crackling Club",Torment,0.16,0.00
"Crazed Firecat",Torment,0.26,0.01
"Crippling Fatigue",Torment,0.18,0.00
"Dawn of the Dead",Torment,0.82,0.08
"Deep Analysis",Torment,0.28,0.00
"Devastating Dreams",Torment,0.61,0.08
"Dwell on the Past",Torment,0.24,0.01
"Enslaved Dwarf",Torment,0.15,0.00
"Equal Treatment",Torment,0.24,0.01
"Faceless Butcher",Torment,0.23,0.00
"False Memories",Torment,0.39,0.08
"Far Wanderings",Torment,0.30,0.00
"Fiery Temper",Torment,0.24,0.00
"Flaming Gambit",Torment,0.24,0.01
"Flash of Defiance",Torment,0.16,0.00
"Floating Shield",Torment,0.19,0.00
"Frantic Purification",Torment,0.17,0.00
"Ghostly Wings",Torment,0.18,0.00
Gloomdrifter,Torment,0.24,0.01
Gravegouger,Torment,0.17,0.00
"Grim Lavamancer",Torment,9.50,3.80
"Grotesque Hybrid",Torment,0.24,0.01
Gurzigost,Torment,0.44,0.08
"Hell-Bent Raider",Torment,0.40,0.08
"Hydromorph Guardian",Torment,0.17,0.00
"Hydromorph Gull",Torment,0.27,0.01
Hypnox,Torment,0.52,0.08
Hypochondria,Torment,0.24,0.01
Ichorid,Torment,1.40,0.08
"Insidious Dreams",Torment,8.89,3.56
Insist,Torment,0.46,0.08
"Invigorating Falls",Torment,0.18,0.00
"Kamahl's Sledge",Torment,0.16,0.00
"Krosan Constrictor",Torment,0.16,0.00
"Krosan Restorer",Torment,0.57,0.00
"Laquatus's Champion",Torment,0.63,0.08
"Last Laugh",Torment,0.48,0.08
Liquify,Torment,0.18,0.00
"Llawan, Cephalid Empress",Torment,1.25,0.08
"Longhorn Firebeast",Torment,0.15,0.00
"Major Teroh",Torment,0.47,0.08
"Mesmeric Fiend",Torment,0.20,0.00
"Militant Monk",Torment,0.17,0.00
"Mind Sludge",Torment,0.24,0.01
Morningtide,Torment,0.41,0.08
"Mortal Combat",Torment,1.08,0.08
Mortiphobia,Torment,0.24,0.01
Mutilate,Torment,0.92,0.08
"Mystic Familiar",Torment,0.17,0.00
"Nantuko Blightcutter",Torment,0.39,0.08
"Nantuko Calmer",Torment,0.18,0.00
"Nantuko Cultivator",Torment,0.44,0.08
"Nantuko Shade",Torment,0.65,0.08
Narcissism,Torment,0.24,0.01
"Nostalgic Dreams",Torment,0.84,0.08
"Obsessive Search",Torment,0.22,0.00
"Organ Grinder",Torment,0.17,0.00
Overmaster,Torment,1.35,0.08
"Parallel Evolution",Torment,3.87,1.55
"Pardic Arsonist",Torment,0.24,0.01
"Pardic Collaborator",Torment,0.24,0.01
"Pardic Lancer",Torment,0.15,0.00
"Pay No Heed",Torment,0.19,0.00
Petradon,Torment,0.43,0.08
Petravark,Torment,0.16,0.00
"Pitchstone Wall",Torment,0.24,0.01
Plagiarize,Torment,0.38,0.08
"Possessed Aven",Torment,0.40,0.08
"Possessed Barbarian",Torment,0.42,0.08
"Possessed Centaur",Torment,0.44,0.08
"Possessed Nomad",Torment,0.40,0.08
"Psychotic Haze",Torment,0.18,0.00
"Putrid Imp",Torment,0.35,0.00
Pyromania,Torment,0.24,0.01
Radiate,Torment,2.20,0.25
"Rancid Earth",Torment,0.31,0.00
"Reborn Hero",Torment,0.42,0.08
"Restless Dreams",Torment,0.20,0.00
"Retraced Image",Torment,0.65,0.08
"Sengir Vampire",Torment,0.40,0.08
"Seton's Scout",Torment,0.24,0.01
"Shade's Form",Torment,0.22,0.00
"Shambling Swarm",Torment,0.46,0.08
"Sickening Dreams",Torment,0.25,0.01
Skullscorch,Torment,0.50,0.08
"Skywing Aven",Torment,0.18,0.00
"Slithery Stalker",Torment,0.24,0.01
"Sonic Seizure",Torment,0.18,0.00
"Soul Scourge",Torment,0.16,0.00
"Spirit Flare",Torment,0.18,0.00
"Stern Judge",Torment,0.24,0.01
"Strength of Isolation",Torment,0.24,0.01
"Strength of Lunacy",Torment,0.27,0.01
"Stupefying Touch",Torment,0.24,0.01
"Tainted Field",Torment,0.57,0.01
"Tainted Isle",Torment,3.00,0.25
"Tainted Peak",Torment,2.76,0.25
"Tainted Wood",Torment,1.10,0.01
"Temporary Insanity",Torment,0.24,0.01
"Teroh's Faithful",Torment,0.18,0.00
"Teroh's Vanguard",Torment,0.24,0.01
Transcendence,Torment,0.88,0.08
"Turbulent Dreams",Torment,0.46,0.08
Unhinge,Torment,0.18,0.00
"Vengeful Dreams",Torment,0.43,0.08
"Violent Eruption",Torment,0.25,0.01
"Waste Away",Torment,0.17,0.00
"Zombie Trailblazer",Torment,0.80,0.01
