"Product Name",Category,"Sell Price","Buy Price"
Aethersnipe,"Ultimate Masters",0.17,0.08
"Akroan Crusader","Ultimate Masters",0.19,0.08
"All Is Dust","Ultimate Masters",7.39,2.96
"Ancestor's Chosen","Ultimate Masters",0.22,0.08
"Ancient Tomb","Ultimate Masters",22.37,10.07
"Angel of Despair","Ultimate Masters",0.38,0.08
"Angelic Renewal","Ultimate Masters",0.15,0.08
Anger,"Ultimate Masters",1.29,0.08
"Appetite for Brains","Ultimate Masters",0.23,0.08
"Apprentice Necromancer","Ultimate Masters",0.29,0.08
Archaeomancer,"Ultimate Masters",0.22,0.08
"Arena Athlete","Ultimate Masters",0.16,0.08
"Artisan of Kozilek","Ultimate Masters",0.30,0.08
"Back to Basics","Ultimate Masters",9.48,3.79
"Balefire Dragon","Ultimate Masters",8.55,3.42
"Basking Rootwalla","Ultimate Masters",0.18,0.08
"Beckon Apparition","Ultimate Masters",0.15,0.08
"Become Immense","Ultimate Masters",0.24,0.08
Bitterblossom,"Ultimate Masters",46.57,23.29
"Blast of Genius","Ultimate Masters",0.24,0.08
"Bloodflow Connoisseur","Ultimate Masters",0.17,0.08
"Boar Umbra","Ultimate Masters",0.24,0.08
"Boneyard Wurm","Ultimate Masters",0.24,0.08
Brawn,"Ultimate Masters",0.24,0.08
"Brazen Scourge","Ultimate Masters",0.23,0.08
"Bridge from Below","Ultimate Masters",5.22,2.09
"Buried Alive","Ultimate Masters",1.43,0.08
"Canker Abomination","Ultimate Masters",0.16,0.08
Cathodion,"Ultimate Masters",0.17,0.08
"Cavern of Souls","Ultimate Masters",71.23,39.18
"Celestial Colonnade","Ultimate Masters",14.24,6.41
"Chainer's Edict","Ultimate Masters",1.68,0.08
"Circular Logic","Ultimate Masters",0.47,0.08
"Citizen Token","Ultimate Masters",0.19,0.08
Conflagrate,"Ultimate Masters",0.71,0.08
"Containment Priest","Ultimate Masters",3.79,1.52
Conviction,"Ultimate Masters",0.17,0.08
Countersquall,"Ultimate Masters",0.68,0.08
"Creeping Tar Pit","Ultimate Masters",4.83,1.93
"Crow of Dark Tidings","Ultimate Masters",0.16,0.08
"Crushing Canopy","Ultimate Masters",0.17,0.08
"Dakmor Salvage","Ultimate Masters",0.49,0.08
"Dark Dabbling","Ultimate Masters",0.17,0.08
"Dark Depths","Ultimate Masters",27.87,13.94
"Dawn Charm","Ultimate Masters",0.48,0.08
"Daybreak Coronet","Ultimate Masters",3.32,1.33
"Death Denied","Ultimate Masters",0.18,0.08
"Defy Gravity","Ultimate Masters",0.16,0.08
"Demonic Tutor","Ultimate Masters",26.84,13.42
"Deranged Assistant","Ultimate Masters",0.18,0.08
"Desolate Lighthouse","Ultimate Masters",0.66,0.08
"Desperate Ritual","Ultimate Masters",0.97,0.08
"Devoted Druid","Ultimate Masters",1.57,0.08
"Dig Through Time","Ultimate Masters",1.43,0.08
"Dimir Guildmage","Ultimate Masters",0.18,0.08
"Disrupting Shoal","Ultimate Masters",1.90,0.08
"Double Cleave","Ultimate Masters",0.19,0.08
"Drake Token","Ultimate Masters",0.24,0.08
"Dreamscape Artist","Ultimate Masters",0.24,0.08
"Eel Umbra","Ultimate Masters",0.17,0.08
"Eldrazi Conscription","Ultimate Masters",4.04,1.62
"Elemental Token (009)","Ultimate Masters",0.22,0.08
"Elemental Token (010)","Ultimate Masters",0.24,0.08
"Elemental Token (013)","Ultimate Masters",0.15,0.08
"Emancipation Angel","Ultimate Masters",0.24,0.08
"Emrakul, the Aeons Torn","Ultimate Masters",23.74,10.68
"Engineered Explosives","Ultimate Masters",15.20,6.84
Entomb,"Ultimate Masters",7.59,3.04
"Eternal Witness","Ultimate Masters",4.04,1.62
"Faerie Rogue Token","Ultimate Masters",1.34,0.08
"Faithless Looting","Ultimate Masters",1.17,0.08
"Faith's Fetters","Ultimate Masters",0.19,0.08
"Fauna Shaman","Ultimate Masters",4.74,1.90
Fecundity,"Ultimate Masters",0.51,0.08
"Fiend Hunter","Ultimate Masters",0.23,0.08
"Fiery Temper","Ultimate Masters",0.18,0.08
"Fire // Ice","Ultimate Masters",0.22,0.08
"Firewing Phoenix","Ultimate Masters",0.22,0.08
"Flagstones of Trokair","Ultimate Masters",4.06,1.62
"Flight of Fancy","Ultimate Masters",0.15,0.08
Foil,"Ultimate Masters",0.47,0.08
"Forbidden Alchemy","Ultimate Masters",0.24,0.08
"Frantic Search","Ultimate Masters",0.47,0.08
"Fulminator Mage","Ultimate Masters",8.08,3.23
"Fume Spitter","Ultimate Masters",0.18,0.08
"Furnace Celebration","Ultimate Masters",0.23,0.08
"Gaddock Teeg","Ultimate Masters",6.63,2.65
Gamble,"Ultimate Masters",4.02,1.61
