"Product Name",Category,"Sell Price","Buy Price"
"Ashnod's Coupon",Unglued,6.78,2.71
"B.F.M. (Big Furry Monster) (Left)",Unglued,4.23,1.69
"B.F.M. (Big Furry Monster) (Right)",Unglued,3.80,1.52
"Blacker Lotus",Unglued,7.38,2.95
"Bronze Calendar",Unglued,0.99,0.08
Bureaucracy,Unglued,0.70,0.08
"Burning Cinder Fury of Crimson Chaos Fire",Unglued,0.74,0.08
"Cardboard Carapace",Unglued,2.14,0.25
Censorship,Unglued,1.27,0.08
"Chaos Confetti",Unglued,0.60,0.08
"Charm School",Unglued,0.29,0.08
"Checks and Balances",Unglued,0.28,0.08
"Chicken &#224; la King",Unglued,2.08,0.25
"Chicken Egg",Unglued,0.21,0.08
"Clam Session",Unglued,0.19,0.08
Clambassadors,Unglued,0.20,0.08
Clam-I-Am,Unglued,0.23,0.08
"Clay Pigeon",Unglued,0.29,0.08
"Common Courtesy",Unglued,0.86,0.08
Deadhead,Unglued,0.23,0.08
Denied!,Unglued,0.23,0.08
"Double Cross",Unglued,0.21,0.08
"Double Deal",Unglued,0.19,0.08
"Double Dip",Unglued,0.19,0.08
"Double Play",Unglued,0.22,0.08
"Double Take",Unglued,0.22,0.08
"Elvish Impersonators",Unglued,0.23,0.08
"Flock of Rabid Sheep",Unglued,0.45,0.08
"Forest - Unglued",Unglued,7.25,2.90
"Fowl Play",Unglued,0.20,0.08
Free-for-All,Unglued,0.73,0.08
"Free-Range Chicken",Unglued,0.21,0.08
Gerrymandering,Unglued,0.29,0.08
"Get a Life",Unglued,0.24,0.08
"Ghazban Ogress",Unglued,0.14,0.08
"Giant Fan",Unglued,0.75,0.08
"Goblin Bookie",Unglued,0.24,0.08
"Goblin Bowling Team",Unglued,0.24,0.08
"Goblin Token",Unglued,2.53,0.25
"Goblin Tutor",Unglued,1.97,0.08
"Growth Spurt",Unglued,0.23,0.08
Gus,Unglued,0.20,0.08
Handcuffs,Unglued,0.57,0.08
"Hungry Hungry Heifer",Unglued,0.24,0.08
"Hurloon Wrangler",Unglued,0.20,0.08
"I'm Rubber, You're Glue",Unglued,0.71,0.08
Incoming!,Unglued,1.23,0.08
"Infernal Spawn of Evil",Unglued,2.48,0.25
"Island - Unglued",Unglued,8.21,3.28
Jack-in-the-Mox,Unglued,4.28,1.71
"Jalum Grifter",Unglued,0.48,0.08
"Jester's Sombrero",Unglued,0.47,0.08
"Jumbo Imp",Unglued,0.40,0.08
"Knight of the Hokey Pokey",Unglued,0.24,0.08
"Krazy Kow",Unglued,0.23,0.08
Landfill,Unglued,0.47,0.08
Lexivore,Unglued,0.24,0.08
"Look at Me, I'm the DCI",Unglued,1.07,0.08
"Mesa Chicken",Unglued,0.23,0.08
"Mine, Mine, Mine!",Unglued,0.95,0.08
"Mirror Mirror",Unglued,1.02,0.08
"Miss Demeanor",Unglued,0.37,0.08
"Mountain - Unglued",Unglued,6.18,2.47
"Once More with Feeling",Unglued,0.73,0.08
"Organ Harvest",Unglued,0.22,0.08
Ow,Unglued,0.74,0.08
"Paper Tiger",Unglued,1.37,0.08
"Pegasus Token",Unglued,0.47,0.08
"Plains - Unglued",Unglued,4.75,1.90
Poultrygeist,Unglued,0.21,0.08
"Prismatic Wardrobe",Unglued,0.21,0.08
"Psychic Network",Unglued,0.73,0.08
Ricochet,Unglued,0.31,0.08
"Rock Lobster",Unglued,1.40,0.08
"Scissors Lizard",Unglued,1.22,0.08
"Sex Appeal",Unglued,0.21,0.08
"Sheep Token",Unglued,1.40,0.08
"Soldier Token",Unglued,2.36,0.25
Sorry,Unglued,0.25,0.08
"Spark Fiend",Unglued,0.48,0.08
"Spatula of the Ages",Unglued,0.26,0.08
"Squirrel Farm",Unglued,3.30,1.32
"Squirrel Token",Unglued,4.15,1.66
"Strategy, Schmategy",Unglued,6.55,2.62
"Swamp - Unglued",Unglued,5.61,2.24
"Team Spirit",Unglued,0.19,0.08
"Temp of the Damned",Unglued,0.19,0.08
"The Cheese Stands Alone",Unglued,1.66,0.08
"The Ultimate Nightmare of Wizards of the Coast Customer Service",Unglued,0.47,0.08
"Timmy, Power Gamer",Unglued,3.22,1.29
"Urza's Contact Lenses",Unglued,0.37,0.08
"Urza's Science Fair Project",Unglued,0.32,0.08
"Volrath's Motion Sensor",Unglued,0.35,0.08
"Zombie Token",Unglued,3.75,1.50
