"Product Name",Category,"Sell Price","Buy Price"
"Air Elemental","Unlimited Edition",3.59,1.69
"Ancestral Recall","Unlimited Edition",0.00,0.00
"Animate Artifact","Unlimited Edition",2.79,0.25
"Animate Dead","Unlimited Edition",13.27,6.24
"Animate Wall","Unlimited Edition",11.39,5.35
"Ankh of Mishra","Unlimited Edition",63.80,29.99
Armageddon,"Unlimited Edition",133.50,80.10
"Aspect of Wolf","Unlimited Edition",15.18,7.13
"Bad Moon","Unlimited Edition",94.00,44.18
Badlands,"Unlimited Edition",571.38,342.83
Balance,"Unlimited Edition",0.00,0.00
"Basalt Monolith","Unlimited Edition",17.57,8.26
Bayou,"Unlimited Edition",721.05,432.63
"Benalish Hero","Unlimited Edition",0.94,0.10
Berserk,"Unlimited Edition",80.75,37.95
"Birds of Paradise","Unlimited Edition",353.86,212.32
"Black Knight","Unlimited Edition",18.53,8.71
"Black Lotus","Unlimited Edition",0.00,0.00
"Black Vise","Unlimited Edition",19.00,8.93
"Black Ward","Unlimited Edition",0.89,0.10
"Blaze of Glory","Unlimited Edition",74.90,35.20
Blessing,"Unlimited Edition",10.80,5.08
"Blue Elemental Blast","Unlimited Edition",1.94,0.10
"Blue Ward","Unlimited Edition",1.36,0.10
"Bog Wraith","Unlimited Edition",3.76,1.77
Braingeyser,"Unlimited Edition",109.24,65.54
Burrowing,"Unlimited Edition",0.91,0.10
Camouflage,"Unlimited Edition",9.46,4.45
Castle,"Unlimited Edition",2.92,0.25
"Celestial Prism","Unlimited Edition",3.32,1.56
Channel,"Unlimited Edition",5.70,2.68
"Chaos Orb","Unlimited Edition",907.25,544.35
Chaoslace,"Unlimited Edition",10.40,4.89
"Circle of Protection: Black","Unlimited Edition",0.90,0.10
"Circle of Protection: Blue","Unlimited Edition",0.47,0.00
"Circle of Protection: Green","Unlimited Edition",0.60,0.10
"Circle of Protection: Red","Unlimited Edition",1.66,0.10
"Circle of Protection: White","Unlimited Edition",0.42,0.00
"Clockwork Beast","Unlimited Edition",29.78,14.00
Clone,"Unlimited Edition",10.20,4.79
Cockatrice,"Unlimited Edition",19.00,8.93
"Consecrate Land","Unlimited Edition",2.81,0.25
Conservator,"Unlimited Edition",1.43,0.10
"Contract from Below","Unlimited Edition",57.36,26.96
"Control Magic","Unlimited Edition",13.11,6.16
Conversion,"Unlimited Edition",1.81,0.10
"Copper Tablet","Unlimited Edition",16.63,7.82
"Copy Artifact","Unlimited Edition",178.58,107.15
Counterspell,"Unlimited Edition",52.22,24.54
"Craw Wurm","Unlimited Edition",0.52,0.10
"Creature Bond","Unlimited Edition",0.37,0.00
Crusade,"Unlimited Edition",0.00,0.00
"Crystal Rod","Unlimited Edition",1.24,0.10
"Cursed Land","Unlimited Edition",2.48,0.25
"Cyclopean Tomb","Unlimited Edition",148.72,89.23
"Dark Ritual","Unlimited Edition",9.11,4.28
Darkpact,"Unlimited Edition",20.63,9.70
"Death Ward","Unlimited Edition",0.37,0.00
Deathgrip,"Unlimited Edition",5.22,2.45
Deathlace,"Unlimited Edition",20.90,9.82
"Demonic Attorney","Unlimited Edition",25.94,12.19
"Demonic Hordes","Unlimited Edition",69.16,32.51
"Demonic Tutor","Unlimited Edition",79.85,37.53
"Dingus Egg","Unlimited Edition",17.10,8.04
Disenchant,"Unlimited Edition",4.74,2.23
Disintegrate,"Unlimited Edition",1.89,0.10
"Disrupting Scepter","Unlimited Edition",45.60,21.43
"Dragon Whelp","Unlimited Edition",5.46,2.57
"Drain Life","Unlimited Edition",1.55,0.10
"Drain Power","Unlimited Edition",22.80,10.72
"Drudge Skeletons","Unlimited Edition",0.77,0.10
"Dwarven Demolition Team","Unlimited Edition",3.18,1.49
"Dwarven Warriors","Unlimited Edition",0.40,0.00
"Earth Elemental","Unlimited Edition",3.11,1.46
Earthbind,"Unlimited Edition",1.10,0.10
Earthquake,"Unlimited Edition",118.75,71.25
"Elvish Archers","Unlimited Edition",47.47,22.31
"Evil Presence","Unlimited Edition",2.65,0.25
"False Orders","Unlimited Edition",1.98,0.10
Farmstead,"Unlimited Edition",13.54,6.36
Fastbond,"Unlimited Edition",75.99,35.72
Fear,"Unlimited Edition",0.95,0.10
Feedback,"Unlimited Edition",0.96,0.10
"Fire Elemental","Unlimited Edition",3.59,1.69
Fireball,"Unlimited Edition",5.71,2.68
Firebreathing,"Unlimited Edition",0.41,0.00
Flashfires,"Unlimited Edition",2.30,0.25
Flight,"Unlimited Edition",0.63,0.10
Fog,"Unlimited Edition",2.79,0.25
"Force of Nature","Unlimited Edition",80.70,37.93
Forcefield,"Unlimited Edition","1,045.00",627.00
"Forest (A)","Unlimited Edition",2.00,0.25
"Forest (B)","Unlimited Edition",2.39,0.25
"Forest (C)","Unlimited Edition",2.37,0.25
Fork,"Unlimited Edition",100.59,60.35
"Frozen Shade","Unlimited Edition",0.68,0.10
Fungusaur,"Unlimited Edition",25.32,11.90
"Gaea's Liege","Unlimited Edition",37.95,17.84
"Gauntlet of Might","Unlimited Edition",660.24,396.14
"Giant Growth","Unlimited Edition",1.94,0.10
"Giant Spider","Unlimited Edition",0.48,0.00
"Glasses of Urza","Unlimited Edition",2.93,0.25
Gloom,"Unlimited Edition",11.45,5.38
"Goblin Balloon Brigade","Unlimited Edition",8.82,4.15
"Goblin King","Unlimited Edition",58.03,27.27
"Granite Gargoyle","Unlimited Edition",71.24,33.48
"Gray Ogre","Unlimited Edition",0.36,0.00
"Green Ward","Unlimited Edition",1.85,0.10
"Grizzly Bears","Unlimited Edition",1.37,0.10
"Guardian Angel","Unlimited Edition",0.42,0.00
"Healing Salve","Unlimited Edition",0.47,0.00
"Helm of Chatzuk","Unlimited Edition",14.71,6.91
"Hill Giant","Unlimited Edition",0.46,0.00
"Holy Armor","Unlimited Edition",0.44,0.00
"Holy Strength","Unlimited Edition",0.95,0.10
"Howl from Beyond","Unlimited Edition",0.95,0.10
"Howling Mine","Unlimited Edition",161.50,96.90
"Hurloon Minotaur","Unlimited Edition",0.49,0.00
Hurricane,"Unlimited Edition",4.75,2.23
"Hypnotic Specter","Unlimited Edition",42.75,20.09
"Ice Storm","Unlimited Edition",42.38,19.92
"Icy Manipulator","Unlimited Edition",75.52,35.49
"Illusionary Mask","Unlimited Edition",189.99,113.99
"Instill Energy","Unlimited Edition",4.65,2.19
Invisibility,"Unlimited Edition",0.61,0.10
"Iron Star","Unlimited Edition",2.02,0.25
"Ironclaw Orcs","Unlimited Edition",0.93,0.10
"Ironroot Treefolk","Unlimited Edition",0.67,0.10
"Island (A)","Unlimited Edition",3.26,1.53
"Island (B)","Unlimited Edition",3.09,1.45
"Island (C)","Unlimited Edition",2.84,0.25
"Island Sanctuary","Unlimited Edition",27.55,12.95
"Ivory Cup","Unlimited Edition",1.88,0.10
"Jade Monolith","Unlimited Edition",14.24,6.69
"Jade Statue","Unlimited Edition",9.74,4.58
"Jayemdae Tome","Unlimited Edition",93.10,43.76
Juggernaut,"Unlimited Edition",14.72,6.92
Jump,"Unlimited Edition",0.32,0.00
Karma,"Unlimited Edition",4.76,2.24
"Keldon Warlord","Unlimited Edition",4.75,2.23
"Kormus Bell","Unlimited Edition",23.71,11.14
Kudzu,"Unlimited Edition",26.27,12.35
Lance,"Unlimited Edition",1.21,0.10
"Ley Druid","Unlimited Edition",1.79,0.10
"Library of Leng","Unlimited Edition",11.88,5.58
Lich,"Unlimited Edition",132.80,79.68
Lifeforce,"Unlimited Edition",2.66,0.25
Lifelace,"Unlimited Edition",0.00,0.00
Lifetap,"Unlimited Edition",1.43,0.10
"Lightning Bolt","Unlimited Edition",23.75,11.16
