"Product Name",Category,"Sell Price","Buy Price"
"&quot;Rumors of My Death . . .&quot;",Unstable,0.22,0.01
"Accessories to Murder",Unstable,0.23,0.01
"Adorable Kitten",Unstable,0.20,0.00
"Aerial Toastmaster",Unstable,0.21,0.01
"Amateur Auteur (A)",Unstable,0.21,0.00
"Amateur Auteur (B)",Unstable,0.19,0.00
"Amateur Auteur (C)",Unstable,0.20,0.00
"Amateur Auteur (D)",Unstable,0.19,0.00
"Angel Token",Unstable,-,-
"Angelic Rocket",Unstable,0.33,0.08
"Animate Library",Unstable,0.37,0.08
"Applied Aeronautics",Unstable,0.19,0.00
"Arms Depot",Unstable,0.24,0.01
"As Luck Would Have It",Unstable,0.36,0.08
Auto-Key,Unstable,0.18,0.00
"Baron Von Count",Unstable,1.20,0.25
"Beast in Show (A)",Unstable,0.20,0.00
"Beast in Show (B)",Unstable,0.19,0.00
"Beast in Show (C)",Unstable,0.19,0.00
"Beast in Show (D)",Unstable,0.19,0.00
"Beast Token",Unstable,-,-
"Bee-Bee Gun",Unstable,0.57,0.25
"Better Than One",Unstable,0.33,0.08
"Big Boa Constrictor",Unstable,0.18,0.00
"Blurry Beeble",Unstable,0.18,0.00
Boomflinger,Unstable,0.18,0.00
"Border Guardian",Unstable,0.21,0.01
"Box of Free-Range Goblins",Unstable,0.18,0.00
"Brainiac Token",Unstable,-,-
"Bumbling Pangolin",Unstable,0.18,0.00
"Buzz Buggy",Unstable,0.18,0.00
"Buzzing Whack-a-Doodle",Unstable,0.24,0.01
"By Gnome Means",Unstable,0.32,0.08
"capital offense",Unstable,0.18,0.00
"Chipper Chopper",Unstable,0.17,0.00
"Chittering Doom",Unstable,0.23,0.01
"Chivalrous Chevalier",Unstable,0.18,0.00
"Clever Combo",Unstable,0.24,0.01
"Clock of DOOOOOOOOOOOOM!",Unstable,0.21,0.01
Clocknapper,Unstable,0.33,0.08
"Clue Token",Unstable,-,-
Cogmentor,Unstable,0.23,0.01
"Common Iguana",Unstable,0.18,0.00
"Construct Token",Unstable,-,-
"Contraption Cannon",Unstable,0.23,0.01
"Crafty Octopus",Unstable,0.18,0.00
"Cramped Bunker",Unstable,0.35,0.08
"Crow Storm",Unstable,0.26,0.01
"Curious Killbot",Unstable,0.25,0.00
"Deadly Poison Sampler",Unstable,0.33,0.08
"Defective Detective",Unstable,0.19,0.00
"Delighted Killbot",Unstable,0.24,0.00
"Despondent Killbot",Unstable,0.24,0.00
"Dictation Quillograph",Unstable,0.18,0.00
"Dirty Rat",Unstable,0.18,0.00
"Dispatch Dispensary",Unstable,0.23,0.01
"Division Table",Unstable,0.18,0.00
"Dogsnail Engine",Unstable,0.24,0.01
"Do-It-Yourself Seraph",Unstable,0.95,0.25
"Dr. Julius Jumblemorph",Unstable,0.94,0.25
"Dragon Token (Gold)",Unstable,-,-
"Druid of the Sacred Beaker",Unstable,0.22,0.01
"Dual Doomsuits",Unstable,0.32,0.08
"Duplication Device",Unstable,0.33,0.08
"Eager Beaver",Unstable,0.18,0.00
"Earl of Squirrel",Unstable,0.66,0.08
"Elemental Token (011)",Unstable,-,-
"Elemental Token (017)",Unstable,-,-
"Enraged Killbot",Unstable,0.24,0.00
"Entirely Normal Armchair",Unstable,0.26,0.01
"Everythingamajig (A)",Unstable,4.41,1.76
"Everythingamajig (B)",Unstable,2.19,0.25
"Everythingamajig (C)",Unstable,2.37,0.25
"Everythingamajig (D)",Unstable,2.33,0.25
"Everythingamajig (E)",Unstable,2.35,0.25
"Everythingamajig (F)",Unstable,3.18,1.27
"Extremely Slow Zombie (A)",Unstable,0.24,0.00
"Extremely Slow Zombie (B)",Unstable,0.24,0.00
"Extremely Slow Zombie (C)",Unstable,0.24,0.00
"Extremely Slow Zombie (D)",Unstable,0.24,0.00
"Faerie Aerie",Unstable,0.74,0.25
"Faerie Spy Token",Unstable,-,-
"Feisty Stegosaurus",Unstable,0.18,0.00
"Finders, Keepers",Unstable,0.19,0.00
"First Pick",Unstable,0.22,0.01
"Five-Finger Discount",Unstable,0.22,0.01
Forest,Unstable,3.77,1.51
"Garbage Elemental (A)",Unstable,0.37,0.01
"Garbage Elemental (B)",Unstable,0.99,0.01
"Garbage Elemental (C)",Unstable,0.65,0.01
"Garbage Elemental (D)",Unstable,1.24,0.01
"Garbage Elemental (E)",Unstable,0.43,0.01
"Garbage Elemental (F)",Unstable,0.37,0.01
"Genetic Recombinator",Unstable,0.24,0.01
"Gift Horse",Unstable,0.32,0.08
"Gimme Five",Unstable,0.19,0.01
"Gnome Token",Unstable,-,-
"Gnomeball Machine",Unstable,0.24,0.01
"Gnome-Made Engine",Unstable,0.18,0.00
"GO TO JAIL",Unstable,0.18,0.00
"Goat Token",Unstable,-,-
"Goblin Haberdasher",Unstable,0.23,0.01
"Goblin Slingshot",Unstable,0.33,0.08
"Goblin Token",Unstable,-,-
"Graveyard Busybody",Unstable,0.37,0.08
"Ground Pounder",Unstable,0.17,0.00
"Grusilda, Monster Masher",Unstable,0.43,0.08
"Guest List",Unstable,0.34,0.08
"Half-Kitten, Half-",Unstable,0.24,0.01
"Half-Orc, Half-",Unstable,0.22,0.01
"Half-Shark, Half-",Unstable,0.20,0.01
"Half-Squirrel, Half-",Unstable,0.24,0.01
"Hammer Helper",Unstable,0.18,0.00
"Hammer Jammer",Unstable,0.21,0.01
"Hammerfest Boomtacular",Unstable,0.22,0.01
"Handy Dandy Clone Machine",Unstable,0.37,0.08
Hangman,Unstable,0.33,0.08
"Hard Hat Area",Unstable,0.77,0.25
"Hazmat Suit (Used)",Unstable,0.18,0.00
"Head Banger",Unstable,0.19,0.00
"Hoisted Hireling",Unstable,0.18,0.00
"Hot Fix",Unstable,0.29,0.08
Humming-,Unstable,0.18,0.00
Hydradoodle,Unstable,0.41,0.08
"Hypnotic Swirly Disc",Unstable,0.34,0.08
"Incite Insight",Unstable,0.35,0.08
"Ineffable Blessing (A)",Unstable,3.28,1.31
"Ineffable Blessing (B)",Unstable,2.19,0.25
