"Product Name",Category,"Sell Price","Buy Price"
"Academy Rector","Urza's Destiny",56.99,28.20
"Aether Sting","Urza's Destiny",0.24,0.00
"Ancient Silverback","Urza's Destiny",0.46,0.00
"Apprentice Necromancer","Urza's Destiny",1.25,0.10
"Archery Training","Urza's Destiny",0.26,0.00
Attrition,"Urza's Destiny",6.18,3.06
"Aura Thief","Urza's Destiny",6.11,3.02
"Blizzard Elemental","Urza's Destiny",0.42,0.00
"Bloodshot Cyclops","Urza's Destiny",0.48,0.00
"Body Snatcher","Urza's Destiny",2.51,0.25
"Braidwood Cup","Urza's Destiny",0.24,0.00
"Braidwood Sextant","Urza's Destiny",0.24,0.00
"Brass Secretary","Urza's Destiny",0.24,0.00
"Brine Seer","Urza's Destiny",0.24,0.00
"Bubbling Beebles","Urza's Destiny",0.17,0.00
"Bubbling Muck","Urza's Destiny",0.92,0.10
Caltrops,"Urza's Destiny",0.56,0.10
"Capashen Knight","Urza's Destiny",0.18,0.00
"Capashen Standard","Urza's Destiny",0.20,0.00
"Capashen Templar","Urza's Destiny",0.18,0.00
"Carnival of Souls","Urza's Destiny",4.62,2.28
"Chime of Night","Urza's Destiny",0.18,0.00
"Cinder Seer","Urza's Destiny",0.24,0.00
"Colos Yearling","Urza's Destiny",0.18,0.00
Compost,"Urza's Destiny",0.31,0.00
"Covetous Dragon","Urza's Destiny",2.00,0.25
Disappear,"Urza's Destiny",0.25,0.00
"Disease Carriers","Urza's Destiny",0.18,0.00
Donate,"Urza's Destiny",6.93,3.43
"Dying Wail","Urza's Destiny",0.18,0.00
"Elvish Lookout","Urza's Destiny",0.19,0.00
"Elvish Piper","Urza's Destiny",4.49,2.22
"Emperor Crocodile","Urza's Destiny",0.44,0.00
Encroach,"Urza's Destiny",0.24,0.00
Eradicate,"Urza's Destiny",0.24,0.00
Extruder,"Urza's Destiny",0.24,0.00
"False Prophet","Urza's Destiny",0.75,0.10
Fatigue,"Urza's Destiny",0.16,0.00
"Fend Off","Urza's Destiny",0.17,0.00
"Festering Wound","Urza's Destiny",0.29,0.00
"Field Surgeon","Urza's Destiny",0.18,0.00
"Flame Jet","Urza's Destiny",0.19,0.00
"Fledgling Osprey","Urza's Destiny",0.15,0.00
Flicker,"Urza's Destiny",0.80,0.10
"Fodder Cannon","Urza's Destiny",0.24,0.00
Gamekeeper,"Urza's Destiny",0.24,0.00
"Goblin Berserker","Urza's Destiny",0.24,0.00
"Goblin Festival","Urza's Destiny",0.48,0.00
"Goblin Gardener","Urza's Destiny",0.19,0.00
"Goblin Marshal","Urza's Destiny",0.94,0.10
"Goblin Masons","Urza's Destiny",0.18,0.00
"Goliath Beetle","Urza's Destiny",0.17,0.00
"Heart Warden","Urza's Destiny",0.21,0.00
"Hulking Ogre","Urza's Destiny",0.18,0.00
"Hunting Moa","Urza's Destiny",0.24,0.00
"Illuminated Wings","Urza's Destiny",0.17,0.00
Impatience,"Urza's Destiny",0.43,0.00
Incendiary,"Urza's Destiny",0.24,0.00
"Iridescent Drake","Urza's Destiny",0.24,0.00
"Ivy Seer","Urza's Destiny",0.24,0.00
"Jasmine Seer","Urza's Destiny",0.24,0.00
"Junk Diver","Urza's Destiny",1.03,0.10
"Keldon Champion","Urza's Destiny",0.24,0.00
"Keldon Vandals","Urza's Destiny",0.18,0.00
Kingfisher,"Urza's Destiny",0.17,0.00
Landslide,"Urza's Destiny",0.24,0.00
"Lurking Jackals","Urza's Destiny",0.24,0.00
Magnify,"Urza's Destiny",0.22,0.00
"Mantis Engine","Urza's Destiny",0.24,0.00
"Mark of Fury","Urza's Destiny",0.21,0.00
