"Product Name",Category,"Sell Price","Buy Price"
"About Face","Urza's Legacy",0.19,0.00
"Angelic Curator","Urza's Legacy",0.18,0.00
"Angel's Trumpet","Urza's Legacy",0.41,0.01
Anthroplasm,"Urza's Legacy",0.41,0.08
Archivist,"Urza's Legacy",0.46,0.08
"Aura Flux","Urza's Legacy",0.23,0.00
"Avalanche Riders","Urza's Legacy",0.91,0.01
"Beast of Burden","Urza's Legacy",0.46,0.08
"Blessed Reversal","Urza's Legacy",0.46,0.08
"Bloated Toad","Urza's Legacy",0.26,0.01
"Bone Shredder","Urza's Legacy",0.36,0.01
"Bouncing Beebles","Urza's Legacy",0.18,0.00
"Brink of Madness","Urza's Legacy",0.40,0.08
"Burst of Energy","Urza's Legacy",0.18,0.00
Cessation,"Urza's Legacy",0.18,0.00
"Cloud of Faeries","Urza's Legacy",0.87,0.00
Crawlspace,"Urza's Legacy",8.08,3.23
"Crop Rotation","Urza's Legacy",3.54,1.42
"Damping Engine","Urza's Legacy",0.47,0.08
"Darkwatch Elves","Urza's Legacy",0.24,0.01
"Defender of Chaos","Urza's Legacy",0.17,0.00
"Defender of Law","Urza's Legacy",0.17,0.00
"Defense Grid","Urza's Legacy",10.44,4.70
"Defense of the Heart","Urza's Legacy",18.39,8.28
"Delusions of Mediocrity","Urza's Legacy",0.48,0.08
"Deranged Hermit","Urza's Legacy",17.14,7.71
"Devout Harpist","Urza's Legacy",0.18,0.00
"Engineered Plague","Urza's Legacy",0.34,0.01
Erase,"Urza's Legacy",0.18,0.00
Eviscerator,"Urza's Legacy",0.44,0.08
"Expendable Troops","Urza's Legacy",0.18,0.00
"Faerie Conclave","Urza's Legacy",1.42,0.01
"Fleeting Image","Urza's Legacy",0.38,0.08
"Fog of Gnats","Urza's Legacy",0.18,0.00
"Forbidding Watchtower","Urza's Legacy",0.48,0.01
"Frantic Search","Urza's Legacy",0.90,0.00
"Gang of Elk","Urza's Legacy",0.24,0.01
"Ghitu Encampment","Urza's Legacy",0.27,0.01
"Ghitu Fire-Eater","Urza's Legacy",0.24,0.01
"Ghitu Slinger","Urza's Legacy",0.20,0.00
"Ghitu War Cry","Urza's Legacy",0.24,0.01
"Giant Cockroach","Urza's Legacy",0.17,0.00
"Goblin Medics","Urza's Legacy",0.20,0.00
"Goblin Welder","Urza's Legacy",2.85,0.25
"Granite Grip","Urza's Legacy",0.18,0.00
"Grim Monolith","Urza's Legacy",170.95,102.57
