"Product Name",Category,"Sell Price","Buy Price"
"Absolute Grace","Urza's Saga",0.47,0.00
"Absolute Law","Urza's Saga",0.48,0.00
Abundance,"Urza's Saga",1.85,0.10
"Abyssal Horror","Urza's Saga",0.45,0.00
"Academy Researchers","Urza's Saga",0.26,0.00
"Acidic Soil","Urza's Saga",1.39,0.10
Acridian,"Urza's Saga",0.18,0.00
"Albino Troll","Urza's Saga",0.29,0.00
Anaconda,"Urza's Saga",0.24,0.00
"Angelic Chorus","Urza's Saga",1.91,0.10
"Angelic Page","Urza's Saga",0.20,0.00
Annul,"Urza's Saga",0.24,0.00
Antagonism,"Urza's Saga",0.46,0.00
"Arc Lightning","Urza's Saga",0.20,0.00
"Arcane Laboratory","Urza's Saga",1.09,0.10
"Argothian Elder","Urza's Saga",2.48,0.25
"Argothian Enchantress","Urza's Saga",14.05,6.60
"Argothian Swine","Urza's Saga",0.19,0.00
"Argothian Wurm","Urza's Saga",1.46,0.10
Attunement,"Urza's Saga",5.55,2.61
"Back to Basics","Urza's Saga",23.78,11.18
"Barrin, Master Wizard","Urza's Saga",3.68,1.73
"Barrin's Codex","Urza's Saga",0.45,0.00
Bedlam,"Urza's Saga",2.08,0.25
Befoul,"Urza's Saga",0.19,0.00
Bereavement,"Urza's Saga",0.25,0.00
"Blanchwood Armor","Urza's Saga",0.39,0.00
"Blanchwood Treefolk","Urza's Saga",0.20,0.00
"Blasted Landscape","Urza's Saga",1.02,0.10
"Blood Vassal","Urza's Saga",0.19,0.00
"Bog Raiders","Urza's Saga",0.20,0.00
Brand,"Urza's Saga",1.50,0.10
Bravado,"Urza's Saga",0.19,0.00
Breach,"Urza's Saga",0.18,0.00
"Brilliant Halo","Urza's Saga",0.24,0.00
"Bull Hippo","Urza's Saga",0.24,0.00
Bulwark,"Urza's Saga",0.45,0.00
"Cackling Fiend","Urza's Saga",0.22,0.00
"Carpet of Flowers","Urza's Saga",13.99,6.58
"Carrion Beetles","Urza's Saga",0.18,0.00
Catalog,"Urza's Saga",0.17,0.00
Catastrophe,"Urza's Saga",4.66,2.19
Cathodion,"Urza's Saga",0.25,0.00
"Cave Tiger","Urza's Saga",0.18,0.00
"Child of Gaea","Urza's Saga",0.47,0.00
"Chimeric Staff","Urza's Saga",0.46,0.00
"Citanul Centaurs","Urza's Saga",0.51,0.10
"Citanul Flute","Urza's Saga",2.38,0.25
"Citanul Hierophants","Urza's Saga",3.02,1.42
"Claws of Gix","Urza's Saga",0.39,0.00
Clear,"Urza's Saga",0.27,0.00
"Cloak of Mists","Urza's Saga",0.24,0.00
Confiscate,"Urza's Saga",0.31,0.00
Congregate,"Urza's Saga",0.23,0.00
Contamination,"Urza's Saga",18.99,8.93
"Copper Gnomes","Urza's Saga",2.00,0.25
"Coral Merfolk","Urza's Saga",0.18,0.00
Corrupt,"Urza's Saga",0.21,0.00
"Cradle Guard","Urza's Saga",0.24,0.00
"Crater Hellion","Urza's Saga",0.55,0.10
"Crazed Skirge","Urza's Saga",0.24,0.00
Crosswinds,"Urza's Saga",0.24,0.00
"Crystal Chimes","Urza's Saga",0.36,0.00
Curfew,"Urza's Saga",0.24,0.00
"Dark Hatchling","Urza's Saga",0.37,0.00
"Dark Ritual","Urza's Saga",0.55,0.10
"Darkest Hour","Urza's Saga",4.75,2.23
"Defensive Formation","Urza's Saga",0.29,0.00
Despondency,"Urza's Saga",0.18,0.00
"Destructive Urge","Urza's Saga",0.33,0.00
"Diabolic Servitude","Urza's Saga",0.29,0.00
"Disciple of Grace","Urza's Saga",0.18,0.00
"Disciple of Law","Urza's Saga",0.21,0.00
"Discordant Dirge","Urza's Saga",0.38,0.00
Disenchant,"Urza's Saga",0.19,0.00
Disorder,"Urza's Saga",0.24,0.00
"Disruptive Student","Urza's Saga",0.21,0.00
Douse,"Urza's Saga",0.26,0.00
"Dragon Blood","Urza's Saga",0.24,0.00
"Drifting Djinn","Urza's Saga",0.44,0.00
"Drifting Meadow","Urza's Saga",0.23,0.00
Dromosaur,"Urza's Saga",0.20,0.00
Duress,"Urza's Saga",1.05,0.10
"Eastern Paladin","Urza's Saga",0.45,0.00
Electryte,"Urza's Saga",0.46,0.00
"Elite Archers","Urza's Saga",0.45,0.00
"Elvish Herder","Urza's Saga",0.24,0.00
"Elvish Lyrist","Urza's Saga",0.21,0.00
"Enchantment Alteration","Urza's Saga",0.24,0.00
"Endless Wurm","Urza's Saga",0.84,0.10
Endoskeleton,"Urza's Saga",0.24,0.00
"Energy Field","Urza's Saga",7.57,3.56
Exhaustion,"Urza's Saga",0.94,0.10
Exhume,"Urza's Saga",2.30,0.25
Exploration,"Urza's Saga",37.78,17.76
Expunge,"Urza's Saga",0.23,0.00
"Faith Healer","Urza's Saga",0.68,0.10
Falter,"Urza's Saga",0.18,0.00
"Fault Line","Urza's Saga",3.09,1.45
Fecundity,"Urza's Saga",1.42,0.10
"Fertile Ground","Urza's Saga",0.24,0.00
"Fiery Mantle","Urza's Saga",0.19,0.00
"Fire Ants","Urza's Saga",0.24,0.00
"Flesh Reaver","Urza's Saga",0.25,0.00
Fluctuator,"Urza's Saga",9.02,4.24
"Fog Bank","Urza's Saga",0.70,0.10
"Forest (347)","Urza's Saga",0.81,0.10
"Forest (348)","Urza's Saga",0.47,0.00
"Forest (349)","Urza's Saga",0.51,0.10
"Forest (350)","Urza's Saga",0.35,0.00
Fortitude,"Urza's Saga",0.17,0.00
"Gaea's Bounty","Urza's Saga",0.23,0.00
"Gaea's Cradle","Urza's Saga",379.96,227.98
"Gaea's Embrace","Urza's Saga",0.61,0.10
Gamble,"Urza's Saga",8.08,3.80
"Gilded Drake","Urza's Saga",65.49,30.78
"Glorious Anthem","Urza's Saga",1.51,0.10
"Goblin Cadets","Urza's Saga",0.27,0.00
"Goblin Lackey","Urza's Saga",11.39,5.35
"Goblin Matron","Urza's Saga",1.31,0.10
"Goblin Offensive","Urza's Saga",2.25,0.25
"Goblin Patrol","Urza's Saga",0.18,0.00
"Goblin Raider","Urza's Saga",0.19,0.00
"Goblin Spelunkers","Urza's Saga",0.20,0.00
"Goblin War Buggy","Urza's Saga",0.20,0.00
"Gorilla Warrior","Urza's Saga",0.17,0.00
"Grafted Skullcap","Urza's Saga",0.46,0.00
"Great Whale","Urza's Saga",9.25,4.35
"Greater Good","Urza's Saga",5.67,2.66
"Greener Pastures","Urza's Saga",0.47,0.00
Guma,"Urza's Saga",0.24,0.00
"Hawkeater Moth","Urza's Saga",0.23,0.00
"Headlong Rush","Urza's Saga",0.19,0.00
"Healing Salve","Urza's Saga",0.18,0.00
"Heat Ray","Urza's Saga",0.20,0.00
"Herald of Serra","Urza's Saga",0.75,0.10
"Hermetic Study","Urza's Saga",0.23,0.00
Hibernation,"Urza's Saga",0.36,0.00
"Hidden Ancients","Urza's Saga",0.24,0.00
"Hidden Guerrillas","Urza's Saga",0.24,0.00
"Hidden Herd","Urza's Saga",0.47,0.00
"Hidden Predators","Urza's Saga",0.47,0.00
"Hidden Spider","Urza's Saga",0.24,0.00
"Hidden Stag","Urza's Saga",0.46,0.00
"Hollow Dogs","Urza's Saga",0.20,0.00
"Hopping Automaton","Urza's Saga",0.24,0.00
"Horseshoe Crab","Urza's Saga",0.19,0.00
Humble,"Urza's Saga",0.24,0.00
Hush,"Urza's Saga",0.19,0.00
"Ill-Gotten Gains","Urza's Saga",0.83,0.10
"Imaginary Pet","Urza's Saga",0.47,0.00
"Intrepid Hero","Urza's Saga",1.01,0.10
"Island (335)","Urza's Saga",1.41,0.10
"Island (336)","Urza's Saga",0.66,0.10
"Island (337)","Urza's Saga",0.47,0.00
"Island (338)","Urza's Saga",0.54,0.10
"Jagged Lightning","Urza's Saga",0.24,0.00
"Karn, Silver Golem","Urza's Saga",15.09,7.09
Launch,"Urza's Saga",0.18,0.00
"Lay Waste","Urza's Saga",0.18,0.00
Lifeline,"Urza's Saga",15.89,7.47
"Lightning Dragon","Urza's Saga",1.76,0.10
"Lilting Refrain","Urza's Saga",0.27,0.00
"Lingering Mirage","Urza's Saga",0.24,0.00
"Looming Shade","Urza's Saga",0.19,0.00
"Lotus Blossom","Urza's Saga",1.83,0.10
Lull,"Urza's Saga",0.23,0.00
"Lurking Evil","Urza's Saga",0.42,0.00
"Mana Leech","Urza's Saga",0.24,0.00
Meltdown,"Urza's Saga",0.33,0.00
Metrognome,"Urza's Saga",0.46,0.00
"Midsummer Revel","Urza's Saga",0.46,0.00
"Mishra's Helix","Urza's Saga",1.29,0.10
