"Product Name",Category,"Sell Price","Buy Price"
"Absolute Grace","Urza's Saga",0.47,0.00
"Absolute Law","Urza's Saga",0.48,0.10
Abundance,"Urza's Saga",1.91,0.25
"Abyssal Horror","Urza's Saga",0.44,0.00
"Academy Researchers","Urza's Saga",0.26,0.00
"Acidic Soil","Urza's Saga",1.42,0.10
Acridian,"Urza's Saga",0.18,0.00
"Albino Troll","Urza's Saga",0.29,0.00
Anaconda,"Urza's Saga",0.24,0.00
"Angelic Chorus","Urza's Saga",1.97,0.25
"Angelic Page","Urza's Saga",0.20,0.00
Annul,"Urza's Saga",0.24,0.00
Antagonism,"Urza's Saga",0.46,0.00
"Arc Lightning","Urza's Saga",0.20,0.00
"Arcane Laboratory","Urza's Saga",1.14,0.10
"Argothian Elder","Urza's Saga",2.49,0.25
"Argothian Enchantress","Urza's Saga",13.99,6.92
"Argothian Swine","Urza's Saga",0.19,0.00
"Argothian Wurm","Urza's Saga",1.47,0.10
Attunement,"Urza's Saga",5.55,2.74
"Back to Basics","Urza's Saga",23.83,11.79
"Barrin, Master Wizard","Urza's Saga",3.68,1.82
"Barrin's Codex","Urza's Saga",0.45,0.00
Bedlam,"Urza's Saga",2.05,0.25
Befoul,"Urza's Saga",0.19,0.00
Bereavement,"Urza's Saga",0.25,0.00
"Blanchwood Armor","Urza's Saga",0.39,0.00
"Blanchwood Treefolk","Urza's Saga",0.19,0.00
"Blasted Landscape","Urza's Saga",1.09,0.10
"Blood Vassal","Urza's Saga",0.19,0.00
"Bog Raiders","Urza's Saga",0.19,0.00
Brand,"Urza's Saga",1.32,0.10
Bravado,"Urza's Saga",0.19,0.00
Breach,"Urza's Saga",0.19,0.00
"Brilliant Halo","Urza's Saga",0.24,0.00
"Bull Hippo","Urza's Saga",0.24,0.00
Bulwark,"Urza's Saga",0.45,0.00
"Cackling Fiend","Urza's Saga",0.22,0.00
"Carpet of Flowers","Urza's Saga",13.30,6.58
"Carrion Beetles","Urza's Saga",0.18,0.00
Catalog,"Urza's Saga",0.18,0.00
Catastrophe,"Urza's Saga",4.66,2.30
Cathodion,"Urza's Saga",0.26,0.00
"Cave Tiger","Urza's Saga",0.18,0.00
"Child of Gaea","Urza's Saga",0.47,0.00
"Chimeric Staff","Urza's Saga",0.46,0.00
"Citanul Centaurs","Urza's Saga",0.56,0.10
"Citanul Flute","Urza's Saga",2.48,0.25
"Citanul Hierophants","Urza's Saga",3.33,1.65
"Claws of Gix","Urza's Saga",0.37,0.00
Clear,"Urza's Saga",0.26,0.00
"Cloak of Mists","Urza's Saga",0.24,0.00
Confiscate,"Urza's Saga",0.31,0.00
Congregate,"Urza's Saga",0.23,0.00
Contamination,"Urza's Saga",18.15,8.98
"Copper Gnomes","Urza's Saga",2.04,0.25
"Coral Merfolk","Urza's Saga",0.18,0.00
Corrupt,"Urza's Saga",0.20,0.00
"Cradle Guard","Urza's Saga",0.24,0.00
"Crater Hellion","Urza's Saga",0.55,0.10
"Crazed Skirge","Urza's Saga",0.24,0.00
Crosswinds,"Urza's Saga",0.24,0.00
"Crystal Chimes","Urza's Saga",0.36,0.00
Curfew,"Urza's Saga",0.24,0.00
"Dark Hatchling","Urza's Saga",0.40,0.00
"Dark Ritual","Urza's Saga",0.55,0.10
"Darkest Hour","Urza's Saga",4.75,2.35
"Defensive Formation","Urza's Saga",0.29,0.00
Despondency,"Urza's Saga",0.19,0.00
"Destructive Urge","Urza's Saga",0.32,0.00
"Diabolic Servitude","Urza's Saga",0.28,0.00
"Disciple of Grace","Urza's Saga",0.21,0.00
"Disciple of Law","Urza's Saga",0.21,0.00
"Discordant Dirge","Urza's Saga",0.40,0.00
Disenchant,"Urza's Saga",0.19,0.00
Disorder,"Urza's Saga",0.25,0.00
"Disruptive Student","Urza's Saga",0.21,0.00
Douse,"Urza's Saga",0.26,0.00
"Dragon Blood","Urza's Saga",0.24,0.00
