"Product Name",Category,"Sell Price","Buy Price"
"Ahn-Crop Invader","War of the Spark",0.13,0.00
"Aid the Fallen","War of the Spark",0.14,0.00
"Ajani, the Greathearted","War of the Spark",1.05,0.10
"Ajani, the Greathearted (JP Alternate Art)","War of the Spark",0.00,0.00
"Ajani's Pridemate","War of the Spark",0.20,0.00
"Angel Token","War of the Spark",0.24,0.00
"Angrath, Captain of Chaos","War of the Spark",0.24,0.00
"Angrath, Captain of Chaos (JP Alternate Art)","War of the Spark",0.00,0.00
"Angrath's Rampage","War of the Spark",0.38,0.00
"Arboreal Grazer","War of the Spark",0.18,0.00
"Arlinn, Voice of the Pack","War of the Spark",0.24,0.00
"Arlinn, Voice of the Pack (JP Alternate Art)","War of the Spark",0.00,0.00
"Arlinn's Wolf","War of the Spark",0.13,0.00
"Ashiok, Dream Render","War of the Spark",0.95,0.10
"Ashiok, Dream Render (JP Alternate Art)","War of the Spark",0.00,0.00
"Ashiok's Skulker","War of the Spark",0.12,0.00
"Assassin Token","War of the Spark",0.15,0.00
"Augur of Bolas","War of the Spark",0.23,0.00
"Aven Eternal","War of the Spark",0.14,0.00
"Awakening of Vitu-Ghazi","War of the Spark",0.35,0.00
"Band Together","War of the Spark",0.13,0.00
Banehound,"War of the Spark",0.14,0.00
"Battlefield Promotion","War of the Spark",0.13,0.00
"Bioessence Hydra","War of the Spark",0.47,0.00
"Blast Zone","War of the Spark",4.04,1.90
"Bleeding Edge","War of the Spark",0.19,0.00
Blindblast,"War of the Spark",0.13,0.00
"Bloom Hulk","War of the Spark",0.13,0.00
"Bolas's Citadel","War of the Spark",1.39,0.10
"Bolt Bend","War of the Spark",0.20,0.00
"Bond of Discipline","War of the Spark",0.19,0.00
"Bond of Flourishing","War of the Spark",0.21,0.00
"Bond of Insight","War of the Spark",0.20,0.00
"Bond of Passion","War of the Spark",0.19,0.00
"Bond of Revival","War of the Spark",0.19,0.00
"Bulwark Giant","War of the Spark",0.14,0.00
"Burning Prophet","War of the Spark",0.14,0.00
"Callous Dismissal","War of the Spark",0.14,0.00
"Casualties of War","War of the Spark",0.56,0.10
"Centaur Nurturer","War of the Spark",0.13,0.00
"Chainwhip Cyclops","War of the Spark",0.13,0.00
"Challenger Troll","War of the Spark",0.19,0.00
"Chandra, Fire Artisan","War of the Spark",1.82,0.10
"Chandra, Fire Artisan (JP Alternate Art)","War of the Spark",0.00,0.00
"Chandra's Pyrohelix","War of the Spark",0.14,0.00
"Chandra's Triumph","War of the Spark",0.19,0.00
"Charity Extractor","War of the Spark",0.13,0.00
"Charmed Stray","War of the Spark",0.14,0.00
"Citizen Token","War of the Spark",0.15,0.00
"Command the Dreadhorde","War of the Spark",1.12,0.10
"Commence the Endgame","War of the Spark",0.45,0.00
"Contentious Plan","War of the Spark",0.14,0.00
"Courage in Crisis","War of the Spark",0.14,0.00
"Cruel Celebrant","War of the Spark",0.29,0.00
"Crush Dissent","War of the Spark",0.14,0.00
"Cyclops Electromancer","War of the Spark",0.19,0.00
"Davriel, Rogue Shadowmage","War of the Spark",0.37,0.00
"Davriel, Rogue Shadowmage (JP Alternate Art)","War of the Spark",0.00,0.00
"Davriel's Shadowfugue","War of the Spark",0.14,0.00
Deathsprout,"War of the Spark",0.24,0.00
"Defiant Strike","War of the Spark",0.14,0.00
"Deliver Unto Evil","War of the Spark",0.38,0.00
Demolish,"War of the Spark",0.13,0.00
Despark,"War of the Spark",0.48,0.00
"Desperate Lunge","War of the Spark",0.27,0.00
"Devil Token","War of the Spark",0.16,0.00
"Devouring Hellion","War of the Spark",0.19,0.00
"Divine Arrow","War of the Spark",0.13,0.00
"Domri, Anarch of Bolas","War of the Spark",1.11,0.10
"Domri, Anarch of Bolas (JP Alternate Art)","War of the Spark",0.00,0.00
"Domri's Ambush","War of the Spark",0.19,0.00
"Dovin, Hand of Control","War of the Spark",0.32,0.00
"Dovin, Hand of Control (JP Alternate Art)","War of the Spark",0.00,0.00
"Dovin's Veto","War of the Spark",0.94,0.10
"Dragon Token","War of the Spark",0.24,0.00
"Dreadhorde Arcanist","War of the Spark",9.02,4.24
"Dreadhorde Butcher","War of the Spark",0.94,0.10
"Dreadhorde Invasion","War of the Spark",1.35,0.10
"Dreadhorde Twins","War of the Spark",0.19,0.00
Dreadmalkin,"War of the Spark",0.19,0.00
"Duskmantle Operative","War of the Spark",0.13,0.00
"Elite Guardmage","War of the Spark",0.23,0.00
"Emblem - Nissa, Who Shakes the World","War of the Spark",0.32,0.00
"Emergence Zone","War of the Spark",0.37,0.00
"Enforcer Griffin","War of the Spark",0.11,0.00
"Enter the God-Eternals","War of the Spark",0.90,0.10
"Erratic Visionary","War of the Spark",0.13,0.00
"Eternal Skylord","War of the Spark",0.19,0.00
"Eternal Taskmaster","War of the Spark",0.22,0.00
"Evolution Sage","War of the Spark",0.80,0.10
"Fblthp, the Lost","War of the Spark",0.49,0.00
"Feather, the Redeemed","War of the Spark",1.89,0.10
"Finale of Devastation","War of the Spark",10.88,5.11
"Finale of Eternity","War of the Spark",1.42,0.10
"Finale of Glory","War of the Spark",1.85,0.10
"Finale of Promise","War of the Spark",10.23,4.81
"Finale of Revelation","War of the Spark",1.89,0.10
"Firemind Vessel","War of the Spark",0.24,0.00
"Flux Channeler","War of the Spark",0.33,0.00
"Forced Landing","War of the Spark",0.13,0.00
"Forest (262)","War of the Spark",0.14,0.00
"Forest (263)","War of the Spark",0.11,0.00
"Forest (264)","War of the Spark",0.13,0.00
"Gateway Plaza","War of the Spark",0.14,0.00
"Giant Growth","War of the Spark",0.13,0.00
"Gideon Blackblade","War of the Spark",7.71,3.62
"Gideon Blackblade (JP Alternate Art)","War of the Spark",0.00,0.00
"Gideon, the Oathsworn","War of the Spark",0.00,0.00
"Gideon's Battle Cry","War of the Spark",0.33,0.00
"Gideon's Company","War of the Spark",0.59,0.10
"Gideon's Sacrifice","War of the Spark",0.13,0.00
"Gideon's Triumph","War of the Spark",0.19,0.00
"Gleaming Overseer","War of the Spark",0.23,0.00
"Goblin Assailant","War of the Spark",0.13,0.00
"Goblin Assault Team","War of the Spark",0.14,0.00
"Goblin Token","War of the Spark",0.19,0.00
"God-Eternal Bontu","War of the Spark",3.46,1.63
"God-Eternal Kefnet","War of the Spark",7.32,3.44
"God-Eternal Oketra","War of the Spark",5.42,2.55
"God-Eternal Rhonas","War of the Spark",3.80,1.79
"God-Pharaoh's Statue","War of the Spark",0.24,0.00
"Grateful Apparition","War of the Spark",0.23,0.00
"Grim Initiate","War of the Spark",0.13,0.00
"Guild Globe","War of the Spark",0.13,0.00
"Guildpact Informant","War of the Spark",0.29,0.00
Heartfire,"War of the Spark",0.13,0.00
"Heartwarming Redemption","War of the Spark",0.19,0.00
"Herald of the Dreadhorde","War of the Spark",0.14,0.00
"Honor the God-Pharaoh","War of the Spark",0.14,0.00
"Huatli, the Sun's Heart","War of the Spark",0.24,0.00
"Huatli, the Sun's Heart (JP Alternate Art)","War of the Spark",0.00,0.00
"Huatli's Raptor","War of the Spark",0.19,0.00
"Ignite the Beacon","War of the Spark",0.33,0.00
"Ilharg, the Raze-Boar","War of the Spark",4.79,2.25
"Interplanar Beacon","War of the Spark",0.29,0.00
"Invade the City","War of the Spark",0.19,0.00
"Invading Manticore","War of the Spark",0.14,0.00
"Iron Bully","War of the Spark",0.13,0.00
"Ironclad Krovod","War of the Spark",0.14,0.00
"Island (253)","War of the Spark",0.16,0.00
"Island (254)","War of the Spark",0.12,0.00
"Island (255)","War of the Spark",0.13,0.00
"Jace, Arcane Strategist","War of the Spark",0.00,0.00
"Jace, Wielder of Mysteries","War of the Spark",1.87,0.10
"Jace, Wielder of Mysteries (JP Alternate Art)","War of the Spark",0.00,0.00
"Jace's Projection","War of the Spark",0.26,0.00
"Jace's Ruse","War of the Spark",0.33,0.00
"Jace's Triumph","War of the Spark",0.19,0.00
"Jaya, Venerated Firemage","War of the Spark",0.24,0.00
"Jaya, Venerated Firemage (JP Alternate Art)","War of the Spark",0.00,0.00
"Jaya's Greeting","War of the Spark",0.14,0.00
"Jiang Yanggu, Wildcrafter","War of the Spark",0.29,0.00
"Jiang Yanggu, Wildcrafter (JP Alternate Art)","War of the Spark",0.00,0.00
"Karn, the Great Creator","War of the Spark",8.99,4.23
"Karn, the Great Creator (JP Alternate Art)","War of the Spark",0.00,0.00
"Karn's Bastion","War of the Spark",1.90,0.10
"Kasmina, Enigmatic Mentor","War of the Spark",0.33,0.00
"Kasmina, Enigmatic Mentor (JP Alternate Art)","War of the Spark",0.00,0.00
"Kasmina's Transmutation","War of the Spark",0.13,0.00
"Kaya, Bane of the Dead","War of the Spark",0.24,0.00
"Kaya, Bane of the Dead (JP Alternate Art)","War of the Spark",0.00,0.00
"Kaya's Ghostform","War of the Spark",0.14,0.00
"Kiora, Behemoth Beckoner","War of the Spark",0.40,0.00
